,Name,Link,Author,Description,,Content Type,Solution Type Mapping,Reference Architecture Tag,Solution Center Associated,Future Status of Solution,Industries,Language,Category 1,Categories 1a,Categories 1a,OG Categories,Category 2,Category 2a,Category 2a,OG Categories,Category 3,Category 3a,Category 3a,,,,,,,,,Status,Date Published,Date Updated,Updated by
getting_started_snowflake_sql_api,Getting Started With Snowflake SQL API,https://quickstarts.snowflake.com/guide/getting_started_snowflake_sql_api/index.html,N/A,Getting Started With Snowflake SQL API,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Draft,"Oct 4, 2021","Feb 25, 2023",jdanielmyers
getting_started_external_functions_aws,Getting Started With External Functions on AWS,https://quickstarts.snowflake.com/guide/getting_started_external_functions_aws/index.html,N/A,Getting Started With External Functions on AWS,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,Partner Integrations,Partner,,,,,,,,,,,,,,,Published,"Dec 14, 2021","Feb 25, 2023",jdanielmyers
getting_started_external_functions_azure,Getting Started With External Functions on Azure,https://quickstarts.snowflake.com/guide/getting_started_external_functions_azure/index.html,N/A,Getting Started With External Functions on Azure,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Partner Integrations,Partner,,,,,,,,,,,,,,,Published,"Dec 14, 2021","Feb 25, 2023",jdanielmyers
getting_started_thoughtspot,Build a ReactJS app with ThoughtSpot and Snowflake,https://quickstarts.snowflake.com/guide/getting_started_thoughtspot/index.html,Thoughtspot,Build an interactive react app with ThoughtSpot and Snowflake,App Development,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,Partner Integrations,"Apps & Collab: Build, Partner",snowflake-site:taxonomy/snowflake-feature/build,,,,,,,,,,,,,,Published,"Dec 14, 2021","Feb 25, 2023",jdanielmyers
database_modeling_with_sqldbm,Cloud native Database Modeling with SqlDBM,https://quickstarts.snowflake.com/guide/database_modeling_with_sqldbm/index.html,Serge Gershkovich,Begin modeling your Snowflake database online with SqlDBM,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Partner Integrations,Partner,,,,,,,,,,,,,,,Published,"Apr 5, 2022","Feb 25, 2023",jdanielmyers
ingest_data_from_pubsub_to_snowflake_with_apache_beam,Ingest data from PubSub to Snowflake with Apache Beam,https://quickstarts.snowflake.com/guide/ingest_data_from_pubsub_to_snowflake_with_apache_beam/index.html,Kamil Bregula,Ingest data from PubSub to Snowflake with Apache Beam,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,architecture-patterns,,,,,,,,Partner Integrations,,,,,,,,Published,"May 5, 2022","Feb 25, 2023",jdanielmyers
harness_the_power_of_snowflake_with_informatica_idmc,Harness the Power of Snowflake with Informatica Intelligent Data Management Cloud,https://quickstarts.snowflake.com/guide/harness_the_power_of_snowflake_with_informatica_idmc/index.html,Eddy Widjaja,This is a guide for getting started with Data Engineering using Informatica Data Management Cloud,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Data Engineering,Partner,,,Partner Integrations,,,,ML,,,,,,,,Published,"May 23, 2022","Feb 25, 2023",jdanielmyers
getting_started_snowflake_sql_api_kr,Snowflake SQL API,https://quickstarts.snowflake.com/guide/getting_started_snowflake_sql_api_kr/index.html,N/A,Snowflake SQL API 시작하기,undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,ko,,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Hidden,"Jul 13, 2022","Feb 25, 2023",jdanielmyers
getting_started_thoughtspot_kr,ThoughtSpot Snowflake ReactJS,https://quickstarts.snowflake.com/guide/getting_started_thoughtspot_kr/index.html,Thoughtspot,ThoughtSpot 및 Snowflake로 대화형 React 앱 구축,undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,ko,,snowflake-site:taxonomy/product/applications-and-collaboration,,,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,,,,,,,,,,,,,Hidden,"Jul 13, 2022","Feb 25, 2023",jdanielmyers
getting_started_with_python_kr,Python,https://quickstarts.snowflake.com/guide/getting_started_with_python_kr/index.html,N/A,Python 시작하기,undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,ko,,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Hidden,"Jul 13, 2022","Feb 25, 2023",jdanielmyers
getting_started_with_snowpark_kr,Snowpark,https://quickstarts.snowflake.com/guide/getting_started_with_snowpark_kr/index.html,N/A,이 가이드는 Snowpark를 사용하여 단순한 예시 설정을 위한 기본 지침을 제공합니다.,undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,ko,,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Hidden,"Jul 13, 2022","Feb 25, 2023",jdanielmyers
resource_optimization_usage_monitoring_kr,Resource Optimization Usage Monitoring,https://quickstarts.snowflake.com/guide/resource_optimization_usage_monitoring_kr/index.html,Matt Meredith,이 가이드는 고객이 과도한 소비를 초래할 수도 있는 사용량을 모니터링하는 것과 관계된 쿼리를 설정 및 실행하는 데 도움을 주기 위해 사용할 수 있습니다.,undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,ko,,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Hidden,"Jul 13, 2022","Feb 25, 2023",jdanielmyers
data_engineering_with_snowpark_python_and_dbt,Data Engineering with Snowpark Python and dbt,https://quickstarts.snowflake.com/guide/data_engineering_with_snowpark_python_and_dbt/index.html,Jeremiah Hansen,This guide will provide step-by-step details for building data engineering pipelines with Snowpark Python and dbt,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Partner Integrations,"Apps & Collab: External Collaboration, Partner",snowflake-site:taxonomy/snowflake-feature/external-collaboration,,,,,,,,,,,,,,Published,"Oct 13, 2022","Feb 25, 2023",jdanielmyers
getting_started_datameer,Getting Started with Datameer,https://quickstarts.snowflake.com/guide/getting_started_datameer/index.html,seb_froh,"This is a broad introduction of Datameer and covers how to start, load and transform data, and share insights.",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Partner Integrations,"DE: Transformation, Partner",snowflake-site:taxonomy/snowflake-feature/transformation,,,,,,,,,,,,,,Published,"Nov 18, 2022","Feb 25, 2023",jdanielmyers
a_postman_tutorial_for_snowflake_sql_api,A Postman Tutorial for the Snowflake SQL API,https://quickstarts.snowflake.com/guide/a_postman_tutorial_for_snowflake_sql_api/index.html,Joyce,Explore the Snowflake SQL API with Postman,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,Getting Started,"Apps & Collab: External Collaboration, Partner",snowflake-site:taxonomy/snowflake-feature/external-collaboration,,Data Engineering,,,,App Development,Partner Integrations,,,,,,,Published,"Nov 30, 2022","Feb 25, 2023",jdanielmyers
build_customer_facing_applications_using_sigma_and_snowflake,Build Customer Facing Applications Using Sigma and Snowflake,https://quickstarts.snowflake.com/guide/build_customer_facing_applications_using_sigma_and_snowflake/index.html,Kelsey Hammock,This guide will lead you through the process of connecting Sigma to a Snowflake environment and building an application that leverages the data in Snowflake. This guide additionally highlights unique end user capabilities when Sigma is embedded in an application.,App Development,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,Partner Integrations,Partner,,,,,,,,,,,,,,,Published,"Dec 8, 2022","Feb 25, 2023",jdanielmyers
suppress_existing_customers_from_youtube_campaign_with_hightouch_and_snowflake,Suppress existing customers from a Youtube campaign with Hightouch and Snowflake,https://quickstarts.snowflake.com/guide/suppress_existing_customers_from_youtube_campaign_with_hightouch_and_snowflake/index.html,Jim Warner,"Build and sync an audience of existing customers to Youtube to suppress from future prospecting campaigns, using Hightouch and Snowflake.",,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,"Applications & Collaboration, Platform",snowflake-site:taxonomy/product/platform,snowflake-site:taxonomy/product/applications-and-collaboration,Partner Integrations,Partner,,,,,,,,,,,,,,,Published,"Dec 19, 2022","Feb 25, 2023",jdanielmyers
getting_started_with_snowpipe,Getting Started with Snowpipe,https://quickstarts.snowflake.com/guide/getting_started_with_snowpipe/index.html,N/A,This guide will help you get started with Snowpipe.,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,Getting Started,,,,,,,,,,,,,,,,Published,"Mar 22, 2021","Mar 3, 2023",jdanielmyers
getting_started_with_time_travel,Getting Started with Time Travel,https://quickstarts.snowflake.com/guide/getting_started_with_time_travel/index.html,N/A,Use Time Travel to query previous database states and undrop data.,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Getting Started,,,,,,,,,,,,,,,,Published,"Mar 22, 2021","Mar 3, 2023",jdanielmyers
vpc_flow_log_ingestion,AWS VPC Flow Logs Ingestion,https://quickstarts.snowflake.com/guide/vpc_flow_log_ingestion/index.html,Jake Berkowsky,"This tutorial is a guide for ingestion AWS VPC Flowlogs into Snowflake. It demonstrates configuration of VPC flowlogs on AWS, ingestion using an external stage with Snowpipe and sample queries for CSPM and threat detection.",Cybersecurity,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,Partner,,,Partner Integrations,,,,,,,,,,,,Published,"Nov 28, 2022","Mar 7, 2023",jdanielmyers
s3_access_log_ingestion,AWS S3 Access Logs Ingestion,https://quickstarts.snowflake.com/guide/s3_access_log_ingestion/index.html,Jake Berkowsky,This quickstart is a guide to ingesting and processing S3 Access Logs into snowflake. It provides detailed instructions for configuring an automated ingestion and processing pipeline as well as example queries for data loss prevention and incident response.,Cybersecurity,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,"DE: Ingestion, Partner",snowflake-site:taxonomy/snowflake-feature/ingestion,,Partner Integrations,,,,,,,,,,,,Published,"Jan 10, 2023","Mar 7, 2023",jdanielmyers
processing_hl7_fhir_messages_with_snowflake,Getting Started Processing HL7 FHIR Messages with Snowflake,https://quickstarts.snowflake.com/guide/processing_hl7_fhir_messages_with_snowflake/index.html,"Adrian Gonzalez, Dan Murphy",This is a guide to get familiarized with how to ingest and process HL7 FHIR JSON messages using Snowflake native features.,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,architecture-patterns,,,,,,,,,,,,,,,,Published,"Jan 27, 2023","Mar 7, 2023",jdanielmyers
cloudtrail_log_ingestion,AWS Cloudtrail Ingestion,https://quickstarts.snowflake.com/guide/cloudtrail_log_ingestion/index.html,Jake Berkowsky,"AWS CloudTrail is an AWS service that helps you enable operational and risk auditing, governance, and compliance of your AWS account. By ingesting and analyzing these logs in Snowflake, practitioners are able to gain analytical insights and work toward securing their environments at scale. This quickstart is a guide to ingesting and processing AWS CloudTrail events into snowflake. It provides detailed instructions for configuring an automated ingestion and processing pipeline as well as example queries for analytics, threat detection and posture management.",Cybersecurity,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,"""Platform: Compliance, Security, Discovery & Governance"", Partner",snowflake-site:taxonomy/snowflake-feature/compliance-security-discovery-governance,,Partner Integrations,,,,,,,,,,,,Published,"Feb 17, 2023","Mar 7, 2023",jdanielmyers
reach_and_frequency_queries,Reach and Frequency queries for advertising measurement,https://quickstarts.snowflake.com/guide/reach_and_frequency_queries/index.html,Jim Warner,Shows common reach and frequency queries for advertising measurement,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,snowflake-site:taxonomy/industry/advertising-media-and-entertainment,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,ML,,,,,,,,,,,,,,,,Published,"Nov 21, 2022","Mar 16, 2023",sfc-gh-jwarner
Accelerate_Data_Transformation_with_the_Telecom_Data_Cloud,Accelerate Data Transformation with the Telecom Data Cloud and Informatica,https://quickstarts.snowflake.com/guide/Accelerate_Data_Transformation_with_the_Telecom_Data_Cloud/index.html,N/A,This is a guide for getting started with Data Integration using Informatica Data Management Cloud,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/certified-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/application-control-framework-build-access-controls-and-monitor-snowflake-native-app-usage/,Remove,snowflake-site:taxonomy/industry/telecom,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,DE: Transformation,snowflake-site:taxonomy/snowflake-feature/transformation,,,,,,,,,,,,,,Published,"Apr 26, 2023","May 9, 2023",sfc-gh-ghernandez
alert_on_events,Getting Started with Event Tables and Alerts,https://quickstarts.snowflake.com/guide/alert_on_events/index.html,Brad Culberson,Getting Started with Event Tables and Alerts,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Getting Started,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,Data Engineering,,,,App Development,,,,,,,,Published,"May 15, 2023","May 15, 2023",Brad Culberson
getting_started_with_unstructured_data,Getting Started with Unstructured Data,https://quickstarts.snowflake.com/guide/getting_started_with_unstructured_data/index.html,"Scott Teal, Saurin Shah, Zohar Nissare-Houssen, Kesav Rayaprolu, Mauricio Rojas Fernandez",This is a guide to get familiar with Snowflake's support for unstructured data,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Data Engineering, AI",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/data-engineering,architecture-patterns,AI: Unstructured Data Insights,snowflake-site:taxonomy/snowflake-feature/unstructured-data-analysis,,,,,,,,,,,,,,Published,"Apr 15, 2022","Jun 23, 2023",scottteal
soda,Data Quality Testing with Soda,https://quickstarts.snowflake.com/guide/soda/index.html,Janet Revell,Follow this guide to set up and run a Soda scan for data quality in Snowflake.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Data Engineering,,,,,,,,,,,,,,,,Published,"May 23, 2023","Jun 23, 2023",janet-can
accelerate_your_graphql_development_on_snowflake_with_hasura,Accelerate Your GraphQL Development on Snowflake with Hasura,https://quickstarts.snowflake.com/guide/accelerate_your_graphql_development_on_snowflake_with_hasura/index.html,Matt,Instantly Build GraphQL APIs on Your Snowflake Data with Hasura,App Development,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,Data Engineering,Partner,,,,,,,Getting Started,Partner Integrations,,,,,,,Published,"Jun 1, 2023","Jun 23, 2023",matt-tabnine
java_trace_events,Using trace events in Java,https://quickstarts.snowflake.com/guide/java_trace_events/index.html,Alexey Litouka,"An example of emitting trace events from Java, and analyzing them",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Data Engineering, Analytics",snowflake-site:taxonomy/product/analytics,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,Published,"Jun 23, 2023","Jun 23, 2023",sfc-gh-alitouka
sundeck_opscenter,Getting Started with Sundeck OpsCenter,https://quickstarts.snowflake.com/guide/sundeck_opscenter/index.html,Robert Maybin,"This Guide shows you how to quickly get started with Sundeck OpsCenter on Snowflake, a free Native App which providing a range of tools to better understand, manage, and alert on Snowflake activity and spend.",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,,"Apps & Collab: Build, Apps & Collab: External Collaboration",snowflake-site:taxonomy/snowflake-feature/build,snowflake-site:taxonomy/snowflake-feature/external-collaboration,,Apps & Collab - Native Apps,snowflake-site:taxonomy/snowflake-feature/native-apps,,,,,,,,,,Draft,"Jun 26, 2023","Jun 26, 2023",robertmaybin
coherent_spark_connector,Coherent Spark Connector use business logic from Excel spreadsheets in Snowflake,https://quickstarts.snowflake.com/guide/coherent_spark_connector/index.html,"Dustin Smith, Alan Hung",Use business logic from Excel in Snowflake with Coherent Spark,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,Apps & Collab: External Collaboration,snowflake-site:taxonomy/snowflake-feature/external-collaboration,,,,,,,,,,,,,,Published,"Jun 23, 2023","Jun 28, 2023",dustinloflandsmith
analyzing_real_estate_properties_with_streamlit,Analyzing real estate properties using Streamlit,https://quickstarts.snowflake.com/guide/analyzing_real_estate_properties_with_streamlit/index.html,Vinícius Oviedo,Analyzing real estate properties with Streamlit,App Development,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/certified-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/analyzing-real-estate-properties-using-streamlit/,Remove,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,Streamlit,,,,,,,,,,,,,,,,Draft,"Jun 23, 2023","Aug 3, 2023",sfc-gh-ghernandez
build_a_data_app_with_snowflake,Build a Data App with Snowflake,https://quickstarts.snowflake.com/guide/build_a_data_app_with_snowflake/index.html,"Brian Hess, Fredrik Göransson, Charles Yorek, Kesav Rayaprolu",A guide to building and running a data application powered by Snowflake and Node.js,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Platform, Applications & Collaboration",snowflake-site:taxonomy/product/platform,snowflake-site:taxonomy/product/applications-and-collaboration,App Development,,,,architecture-patterns,,,,,,,,,,,,Published,"May 12, 2023","Aug 16, 2023",FredrikGoransson
getting_started_with_snowpark_in_snowflake_python_worksheets_ja,Snowflake Python Snowpark,https://quickstarts.snowflake.com/guide/getting_started_with_snowpark_in_snowflake_python_worksheets_ja/index.html,Dash Desai,Snowflake PythonワークシートによるSnowpark入門,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,jp,,snowflake-site:taxonomy/product/data-engineering,snowflake-site:taxonomy/product/platform,Getting Started,,,,Data Engineering,,,,App Development,,,,,,,,Published,"Jul 21, 2023","Aug 18, 2023",sfc-gh-ghernandez
getting-started-django-snowflake,Getting Started with Snowflake as a backend for Django,https://quickstarts.snowflake.com/guide/getting-started-django-snowflake/index.html,Gilberto Hernandez,How to get started with Snowflake as a backend for Django.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,DE: Transformation,snowflake-site:taxonomy/snowflake-feature/transformation,,,,,,,,,,,,,,Published,"Mar 27, 2023","Aug 29, 2023",sfc-gh-ghernandez
getting_started_keboola,Getting Started with Keboola,https://quickstarts.snowflake.com/guide/getting_started_keboola/index.html,Anthony Alteirac,Getting Started With Keboola,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,Partner Integrations,Partner,,,,,,,,,,,,,,,Draft,"Jan 18, 2023","Sep 6, 2023",sfc-gh-aalteirac
resource_optimization_billing_metrics,Resource Optimization Billing Metrics,https://quickstarts.snowflake.com/guide/resource_optimization_billing_metrics/index.html,Matt Meredith,This guide can be used to help customers setup and run queries pertaining to monitoring billing metrics that might help identify areas of over-consumption.,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,resource-optimization,,,,ML,,,,,,,,,,,,Published,"Mar 22, 2021","Sep 15, 2023",iamontheinet
processing_hl7_v2_messages_with_snowflake,Getting Started Processing HL7 V2 Messages with Snowflake,https://quickstarts.snowflake.com/guide/processing_hl7_v2_messages_with_snowflake/index.html,"Sreedhar Bolneni, Venkatesh Sekar, Tushar Sarde",This is a guide to get familiarised with how to ingest and process HL7 V2.x messages using Snowflake Data Programmability features.,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,architecture-patterns,,,,,,,,,,,,,,,,Published,"Nov 21, 2022","Sep 18, 2023",scottteal
secure_your_organization_with_security_analytics_using_snowflake_and_sigma,Secure Your Organization with Security Analytics Using Snowflake and Sigma,https://quickstarts.snowflake.com/guide/secure_your_organization_with_security_analytics_using_snowflake_and_sigma/index.html,Kelsey Hammock,Learn how to monitor your Snowflake security posture using Sigma,Cybersecurity,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,Data Warehousing,"""Platform: Compliance, Security, Discovery & Governance""",snowflake-site:taxonomy/snowflake-feature/compliance-security-discovery-governance,,,,,,,,,,,,,,Draft,"Oct 20, 2023","Oct 20, 2023",kelseySigma
a_comprehensive_guide_creating_graphql_api_on_top_of_snowflake_using_propel,A Comprehensive Guide Creating GraphQL API on Top of Snowflake Using Propel,https://quickstarts.snowflake.com/guide/a_comprehensive_guide_creating_graphql_api_on_top_of_snowflake_using_propel/index.html,YK,"This guide teaches how to create a GraphQL API using Propel on Snowflake, focusing on setup, configuration, and development of a high-performance API.",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,Apps & Collab: External Collaboration,snowflake-site:taxonomy/snowflake-feature/external-collaboration,,,,,,,,,,,,,,Published,"Dec 8, 2023","Dec 13, 2023",ykdojo
