shipment_id,product_id,carrier_name,origin_warehouse,destination_store,ship_date,shipping_cost_usd,weight_kg,distance_miles,on_time
FC-037,1043,TransGlobal Shipping,Seattle WA,Eugene OR,2025-10-02,95.40,6.0,283,Yes
FC-038,1015,ExpressRoute Carriers,Chicago IL,Kansas City MO,2025-10-08,178.90,46.0,510,No
FC-039,1031,PrimeHaul Transport,Newark NJ,Albany NY,2025-10-14,45.20,5.0,157,Yes
FC-040,1007,SwiftMove Inc,Atlanta GA,Savannah GA,2025-10-20,248.30,25.0,248,No
FC-041,1026,Pacific Carriers Ltd,Dallas TX,El Paso TX,2025-10-26,410.50,400.0,571,Yes
FC-042,1039,MidWest Express,Los Angeles CA,Bakersfield CA,2025-11-01,72.10,50.0,112,Yes
FC-043,1049,FastFreight Logistics,Seattle WA,Tacoma WA,2025-11-07,680.20,550.0,34,No
FC-044,1002,TransGlobal Shipping,Chicago IL,Grand Rapids MI,2025-11-13,215.40,120.0,180,Yes
FC-045,1024,ExpressRoute Carriers,Newark NJ,Richmond VA,2025-11-19,108.60,12.0,330,No
FC-046,1037,PrimeHaul Transport,Atlanta GA,Memphis TN,2025-11-25,162.30,40.0,382,Yes
FC-047,1016,SwiftMove Inc,Dallas TX,Little Rock AR,2025-12-01,195.80,20.0,318,No
FC-048,1045,Pacific Carriers Ltd,Los Angeles CA,Riverside CA,2025-12-07,42.90,30.0,57,Yes
FC-049,1008,MidWest Express,Seattle WA,Reno NV,2025-12-13,355.40,40.0,564,Yes
FC-050,1028,FastFreight Logistics,Chicago IL,Omaha NE,2025-12-19,145.70,30.0,472,No
FC-051,1003,TransGlobal Shipping,Newark NJ,Syracuse NY,2025-12-25,275.30,85.0,254,Yes
FC-052,1047,ExpressRoute Carriers,Atlanta GA,Charleston SC,2025-12-30,198.80,25.0,312,No
FC-053,1021,PrimeHaul Transport,Dallas TX,Tulsa OK,2026-01-05,58.40,8.0,257,Yes
FC-054,1034,SwiftMove Inc,Los Angeles CA,San Jose CA,2026-01-11,132.50,18.0,340,No
FC-055,1018,Pacific Carriers Ltd,Seattle WA,Bellingham WA,2026-01-17,228.60,15.0,90,Yes
FC-056,1040,MidWest Express,Chicago IL,Louisville KY,2026-01-23,88.30,15.0,264,Yes
FC-057,1006,FastFreight Logistics,Newark NJ,Trenton NJ,2026-01-29,495.20,180.0,58,No
FC-058,1012,TransGlobal Shipping,Atlanta GA,Knoxville TN,2026-02-04,72.80,11.0,181,Yes
FC-059,1032,ExpressRoute Carriers,Dallas TX,Amarillo TX,2026-02-10,48.90,2.0,360,No
FC-060,1050,PrimeHaul Transport,Los Angeles CA,Long Beach CA,2026-02-16,625.40,100.0,26,Yes
