return_id,product_id,store_id,return_date,reason_category,customer_complaint,refund_amount
RET-029,1011,STR-007,2025-11-11,Damaged in Transit,"Three bags of organic wheat flour arrived with tears in the packaging and flour spilling everywhere in the delivery truck. The remaining intact bags are contaminated with loose flour from the broken bags and cannot be sold. Warehouse team documented everything with photos.",172.80
RET-030,1043,STR-015,2025-11-19,Defective,"The smart lock modules will not pair with our building management system via Bluetooth. We followed the setup guide exactly and tried with three different BMS controllers. The locks show up in scan mode but fail authentication every time. Firmware version shows 1.2 but your docs say 2.0 is required.",201.60
RET-031,1027,STR-021,2025-11-27,Wrong Item,"The pallet jack we received is a narrow-aisle model with 20-inch forks, but we specifically ordered the standard model with 27-inch forks to fit our pallets. The wrong model will not lift our standard pallets safely. Our order confirmation clearly shows the standard model.",560.00
RET-032,1005,STR-009,2025-12-05,Quality Issue,"The carbon fiber panels have visible voids and delamination when held up to light. Our engineering team ran ultrasonic testing and found internal defects in 4 out of 6 panels. These are aerospace-grade panels and the defects make them structurally unacceptable for our application.",768.00
RET-033,1040,STR-012,2025-12-13,Defective,"Half the replacement light bulbs in the 12-pack are flickering at a noticeable frequency. We tested them in multiple fixtures to rule out electrical issues. The non-flickering bulbs from the same pack work fine, so this appears to be a manufacturing inconsistency in this batch.",14.40
RET-034,1016,STR-004,2025-12-21,Damaged in Transit,"Two LED panel lights were shattered during shipping. The boxes had no internal padding or corner protection. The panels are glass-faced and extremely fragile but were packed with just a single layer of bubble wrap. The third panel survived but has a cracked corner.",89.60
RET-035,1022,STR-018,2025-12-29,Changed Mind,"Our warehouse is being reorganized and the new layout will not require bubble wrap as we are switching to air pillow packaging. We have 30 unopened rolls of bubble wrap that are surplus to our needs. All rolls are factory sealed and in perfect condition.",720.00
RET-036,1038,STR-002,2026-01-06,Quality Issue,"The epoxy floor coating is not curing properly. We applied it per the instructions at recommended temperature and humidity but after 72 hours it is still tacky and soft. Previous batches from you cured within 24 hours. We suspect this batch may have been stored improperly or is past its effective shelf life.",216.00
RET-037,1007,STR-025,2026-01-14,Defective,"The servo controller displays error code E-47 immediately on startup and will not initialize. We tried resetting to factory defaults and updating firmware but the error persists. Our automation engineer believes the main control board may have a fault. We need a working replacement urgently.",296.00
RET-038,1034,STR-016,2026-01-22,Wrong Item,"We ordered size 10 steel toe boots but received size 12. The packing slip says size 10 but the boots are clearly marked size 12 inside. We have workers waiting for proper safety footwear to start their shift assignments on the new project next week.",208.00
RET-039,1020,STR-022,2026-01-30,Damaged in Transit,"The USB-C cable bundle packaging was ripped open and several cables are kinked with bent connectors. It looks like something heavy was placed on top of the package during shipping. We tested the damaged cables and 4 out of 10 do not establish a data connection.",12.80
RET-040,1049,STR-008,2026-02-07,Defective,"The warehouse rack section has misaligned bolt holes on the left upright beam. The holes are off by approximately 3mm which prevents the cross beams from seating properly. We attempted assembly three times with different cross beams to confirm it is the upright that is defective.",352.00
