tower_id,tower_name,region,network_type,capacity_date,total_bandwidth_gbps,used_bandwidth_gbps,available_bandwidth_gbps,utilization_pct,equipment_status,last_maintenance_date,next_scheduled_maintenance,expected_growth_pct,upgrade_recommended,estimated_capacity_exhaustion_date
TWR_PNG_002,4G Tower Bayan Lepas,Penang,4G,2024-11-03,67.2,58.2,9.0,86.7,Active,2024-09-11,2025-02-08,18.0,True,2025-07-24
TWR_PNG_003,4G Tower Butterworth,Penang,4G,2024-11-03,52.8,46.3,6.5,87.7,Active,2024-10-02,2025-02-20,24.3,True,2026-01-10
TWR_JHR_001,5G Tower Johor Bahru Central,Johor,5G,2024-11-03,130.4,102.6,27.8,78.7,Degraded,2024-09-08,2025-03-28,16.8,False,2025-05-17
TWR_JHR_002,4G Tower Iskandar Puteri,Johor,4G,2024-11-03,51.4,41.7,9.7,81.1,Active,2024-09-26,2025-04-22,21.4,True,2025-06-19
TWR_JHR_003,4G Tower Skudai,Johor,4G,2024-11-03,64.9,47.8,17.1,73.6,Active,2024-09-14,2025-02-16,13.9,False,2026-08-02
TWR_SBH_001,4G Tower Kota Kinabalu,Sabah,4G,2024-11-03,56.7,42.0,14.6,74.2,Active,2024-09-05,2025-04-22,18.3,False,2025-07-26
TWR_SBH_002,4G Tower Sandakan,Sabah,4G,2024-11-03,58.6,48.7,9.9,83.1,Active,2024-09-28,2025-04-30,19.9,True,2026-01-08
TWR_SWK_001,4G Tower Kuching,Sarawak,4G,2024-11-03,54.3,39.7,14.6,73.1,Active,2024-09-06,2025-02-28,12.4,False,2026-05-29
TWR_SWK_002,4G Tower Miri,Sarawak,4G,2024-11-03,61.1,44.6,16.4,73.1,Active,2024-08-29,2025-02-03,20.5,False,2025-08-12
TWR_MLK_001,4G Tower Melaka Central,Melaka,4G,2024-11-03,54.5,43.5,11.0,79.9,Active,2024-09-28,2025-03-22,21.7,False,2026-09-08
TWR_IPH_001,4G Tower Ipoh,Perak,4G,2024-11-03,67.1,49.4,17.6,73.7,Active,2024-08-18,2025-03-21,20.3,False,2025-06-30
TWR_IPH_002,4G Tower Taiping,Perak,4G,2024-11-03,59.8,52.1,7.7,87.1,Active,2024-09-03,2025-02-14,23.5,True,2026-03-03
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-04,105.3,70.5,34.8,66.9,Active,2024-08-10,2025-04-03,16.9,False,2025-12-05
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-04,114.5,84.2,30.3,73.6,Active,2024-09-12,2025-04-26,14.2,False,2025-08-04
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-04,127.0,76.9,50.1,60.5,Active,2024-09-11,2025-04-22,23.1,False,2025-10-24
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-04,110.2,74.8,35.5,67.8,Active,2024-08-07,2025-04-16,18.0,False,2026-04-11
TWR_KL_005,4G Tower Ampang,Kuala Lumpur,4G,2024-11-04,50.4,37.2,13.1,73.9,Active,2024-08-10,2025-02-24,18.7,False,2026-02-01
TWR_SEL_001,5G Tower Shah Alam,Selangor,5G,2024-11-04,130.4,92.5,37.9,71.0,Active,2024-09-06,2025-03-23,12.9,False,2025-11-01
TWR_SEL_002,5G Tower Petaling Jaya,Selangor,5G,2024-11-04,115.2,93.0,22.1,80.8,Active,2024-08-14,2025-03-16,15.3,True,2025-08-27
TWR_SEL_003,5G Tower Subang Jaya,Selangor,5G,2024-11-04,100.5,83.3,17.1,82.9,Maintenance,2024-09-23,2025-03-05,13.2,True,2025-11-24
TWR_SEL_004,4G Tower Klang,Selangor,4G,2024-11-04,69.1,59.5,9.6,86.2,Active,2024-09-24,2025-04-09,21.4,True,2025-11-15
TWR_SEL_005,4G Tower Kajang,Selangor,4G,2024-11-04,69.0,53.3,15.7,77.2,Active,2024-09-10,2025-03-27,13.9,False,2025-08-22
TWR_PNG_001,5G Tower Georgetown,Penang,5G,2024-11-04,138.8,95.5,43.3,68.8,Active,2024-10-02,2025-03-11,23.5,False,2025-07-15
TWR_PNG_002,4G Tower Bayan Lepas,Penang,4G,2024-11-04,60.1,47.7,12.3,79.5,Active,2024-09-13,2025-05-02,12.2,False,2026-01-14
TWR_PNG_003,4G Tower Butterworth,Penang,4G,2024-11-04,53.6,43.2,10.4,80.6,Active,2024-08-25,2025-04-26,16.2,True,2025-11-06
TWR_JHR_001,5G Tower Johor Bahru Central,Johor,5G,2024-11-04,114.3,83.3,31.0,72.9,Active,2024-09-04,2025-02-24,17.7,False,2026-09-11
TWR_JHR_002,4G Tower Iskandar Puteri,Johor,4G,2024-11-04,62.9,55.8,7.1,88.6,Active,2024-08-11,2025-02-23,22.7,True,2026-07-17
TWR_JHR_003,4G Tower Skudai,Johor,4G,2024-11-04,69.4,56.2,13.2,80.9,Active,2024-09-13,2025-03-01,21.8,True,2025-10-23
TWR_SBH_001,4G Tower Kota Kinabalu,Sabah,4G,2024-11-04,50.2,44.2,6.0,88.0,Active,2024-09-03,2025-04-15,22.1,True,2025-11-14
TWR_SBH_002,4G Tower Sandakan,Sabah,4G,2024-11-04,67.5,60.2,7.3,89.2,Active,2024-09-20,2025-03-05,17.5,True,2025-09-09
TWR_SWK_001,4G Tower Kuching,Sarawak,4G,2024-11-04,68.2,52.3,15.9,76.7,Active,2024-09-28,2025-04-29,14.9,False,2026-03-26
TWR_SWK_002,4G Tower Miri,Sarawak,4G,2024-11-04,51.9,46.6,5.3,89.8,Degraded,2024-08-09,2025-02-17,24.8,True,2026-04-22
TWR_MLK_001,4G Tower Melaka Central,Melaka,4G,2024-11-04,56.1,50.4,5.6,90.0,Active,2024-08-22,2025-03-27,18.0,True,2025-08-27
TWR_IPH_001,4G Tower Ipoh,Perak,4G,2024-11-04,54.2,44.5,9.7,82.1,Active,2024-09-10,2025-04-06,21.6,True,2026-10-03
TWR_IPH_002,4G Tower Taiping,Perak,4G,2024-11-04,50.0,43.8,6.2,87.6,Active,2024-08-23,2025-04-13,17.7,True,2026-05-14
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-05,107.9,65.9,42.0,61.1,Active,2024-09-30,2025-03-10,22.9,False,2026-07-06
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-05,116.4,74.1,42.4,63.6,Active,2024-09-14,2025-03-27,17.6,False,2026-07-06
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-05,106.9,76.3,30.6,71.4,Active,2024-09-10,2025-04-28,15.9,False,2026-09-18
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-05,103.8,82.2,21.6,79.2,Degraded,2024-09-26,2025-02-12,22.5,False,2026-01-28
TWR_KL_005,4G Tower Ampang,Kuala Lumpur,4G,2024-11-05,66.0,54.0,12.0,81.8,Active,2024-08-13,2025-02-27,17.7,True,2025-06-12
TWR_SEL_001,5G Tower Shah Alam,Selangor,5G,2024-11-05,119.1,80.8,38.3,67.8,Active,2024-09-05,2025-04-18,23.4,False,2026-07-26
TWR_SEL_002,5G Tower Petaling Jaya,Selangor,5G,2024-11-05,143.8,99.8,44.0,69.4,Active,2024-08-16,2025-04-11,12.9,False,2025-11-23
TWR_SEL_003,5G Tower Subang Jaya,Selangor,5G,2024-11-05,135.5,81.9,53.5,60.5,Active,2024-09-25,2025-04-11,23.3,False,2026-05-26
TWR_SEL_004,4G Tower Klang,Selangor,4G,2024-11-05,61.9,51.0,10.9,82.4,Active,2024-09-08,2025-02-13,20.4,True,2025-12-14
TWR_SEL_005,4G Tower Kajang,Selangor,4G,2024-11-05,65.5,58.8,6.8,89.6,Degraded,2024-08-15,2025-04-11,14.1,True,2025-05-23
TWR_PNG_001,5G Tower Georgetown,Penang,5G,2024-11-05,145.5,99.7,45.9,68.5,Active,2024-10-04,2025-02-11,19.0,False,2025-06-05
TWR_PNG_002,4G Tower Bayan Lepas,Penang,4G,2024-11-05,61.8,45.1,16.7,73.0,Active,2024-10-04,2025-03-06,21.5,False,2026-07-17
TWR_PNG_003,4G Tower Butterworth,Penang,4G,2024-11-05,53.4,39.1,14.3,73.3,Active,2024-09-05,2025-02-28,18.0,False,2025-05-13
TWR_JHR_001,5G Tower Johor Bahru Central,Johor,5G,2024-11-05,107.8,65.1,42.6,60.4,Active,2024-09-28,2025-04-06,12.1,False,2026-09-18
TWR_JHR_002,4G Tower Iskandar Puteri,Johor,4G,2024-11-05,63.4,53.5,10.0,84.3,Active,2024-10-02,2025-02-04,18.0,True,2025-12-27
TWR_JHR_003,4G Tower Skudai,Johor,4G,2024-11-05,61.8,47.4,14.4,76.7,Active,2024-08-30,2025-05-03,15.7,False,2026-08-08
TWR_SBH_001,4G Tower Kota Kinabalu,Sabah,4G,2024-11-05,62.6,51.1,11.5,81.7,Degraded,2024-09-06,2025-03-12,18.1,True,2026-05-12
TWR_SBH_002,4G Tower Sandakan,Sabah,4G,2024-11-05,67.0,53.3,13.7,79.6,Active,2024-08-10,2025-02-24,12.7,False,2025-08-11
TWR_SWK_001,4G Tower Kuching,Sarawak,4G,2024-11-05,52.7,38.6,14.1,73.2,Degraded,2024-09-28,2025-04-11,24.5,False,2026-08-28
TWR_SWK_002,4G Tower Miri,Sarawak,4G,2024-11-05,51.7,43.9,7.8,84.9,Degraded,2024-09-22,2025-04-01,21.4,True,2026-06-05
TWR_MLK_001,4G Tower Melaka Central,Melaka,4G,2024-11-05,60.4,53.5,6.9,88.5,Active,2024-08-30,2025-04-26,18.3,True,2026-06-05
TWR_IPH_001,4G Tower Ipoh,Perak,4G,2024-11-05,56.1,40.5,15.6,72.2,Active,2024-09-11,2025-05-04,24.3,False,2026-07-12
TWR_IPH_002,4G Tower Taiping,Perak,4G,2024-11-05,68.5,53.9,14.6,78.7,Active,2024-08-12,2025-02-18,15.8,False,2026-03-28
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-06,131.9,88.6,43.3,67.1,Active,2024-09-22,2025-03-30,16.2,False,2026-05-18
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-06,111.2,75.1,36.2,67.5,Active,2024-09-19,2025-04-01,17.7,False,2025-12-30
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-06,125.3,96.6,28.7,77.1,Active,2024-09-15,2025-04-21,16.6,False,2026-01-14
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-06,108.1,74.2,33.9,68.6,Degraded,2024-09-29,2025-03-14,14.7,False,2026-03-28
TWR_KL_005,4G Tower Ampang,Kuala Lumpur,4G,2024-11-06,56.7,41.6,15.1,73.3,Maintenance,2024-08-28,2025-04-06,13.9,False,2026-09-27
TWR_SEL_001,5G Tower Shah Alam,Selangor,5G,2024-11-06,112.7,89.0,23.7,79.0,Active,2024-09-05,2025-02-27,20.7,False,2025-12-31
TWR_SEL_002,5G Tower Petaling Jaya,Selangor,5G,2024-11-06,120.6,91.5,29.1,75.9,Active,2024-08-08,2025-03-12,20.7,False,2025-06-08
TWR_SEL_003,5G Tower Subang Jaya,Selangor,5G,2024-11-06,138.6,95.5,43.0,69.0,Active,2024-10-07,2025-02-06,18.5,False,2026-04-11
TWR_SEL_004,4G Tower Klang,Selangor,4G,2024-11-06,67.4,47.4,20.0,70.3,Active,2024-09-26,2025-04-17,21.2,False,2026-05-09
TWR_SEL_005,4G Tower Kajang,Selangor,4G,2024-11-06,66.3,49.3,16.9,74.4,Active,2024-09-06,2025-02-10,20.9,False,2025-10-14
TWR_PNG_001,5G Tower Georgetown,Penang,5G,2024-11-06,134.4,109.6,24.9,81.5,Active,2024-08-25,2025-03-25,13.8,True,2026-05-27
TWR_PNG_002,4G Tower Bayan Lepas,Penang,4G,2024-11-06,65.4,57.5,7.9,87.9,Active,2024-08-14,2025-03-09,24.3,True,2025-12-28
TWR_PNG_003,4G Tower Butterworth,Penang,4G,2024-11-06,58.2,42.3,15.9,72.7,Active,2024-10-04,2025-03-17,14.9,False,2026-08-12
TWR_JHR_001,5G Tower Johor Bahru Central,Johor,5G,2024-11-06,102.9,68.1,34.8,66.1,Active,2024-10-05,2025-02-25,14.6,False,2026-09-25
TWR_JHR_002,4G Tower Iskandar Puteri,Johor,4G,2024-11-06,58.9,45.2,13.7,76.8,Active,2024-09-05,2025-04-17,16.5,False,2025-12-10
TWR_JHR_003,4G Tower Skudai,Johor,4G,2024-11-06,51.2,41.7,9.5,81.4,Active,2024-08-31,2025-03-17,12.3,True,2025-09-16
TWR_SBH_001,4G Tower Kota Kinabalu,Sabah,4G,2024-11-06,67.1,57.3,9.8,85.5,Active,2024-10-01,2025-02-11,15.5,True,2025-06-01
TWR_SBH_002,4G Tower Sandakan,Sabah,4G,2024-11-06,54.1,38.9,15.3,71.8,Active,2024-08-18,2025-02-17,23.4,False,2026-04-27
TWR_SWK_001,4G Tower Kuching,Sarawak,4G,2024-11-06,62.1,54.3,7.9,87.3,Active,2024-08-08,2025-03-21,15.5,True,2025-11-03
TWR_SWK_002,4G Tower Miri,Sarawak,4G,2024-11-06,61.0,54.6,6.4,89.5,Active,2024-08-14,2025-02-25,13.3,True,2025-06-20
TWR_MLK_001,4G Tower Melaka Central,Melaka,4G,2024-11-06,65.3,48.7,16.7,74.5,Active,2024-09-07,2025-02-16,21.4,False,2026-04-04
TWR_IPH_001,4G Tower Ipoh,Perak,4G,2024-11-06,58.9,42.0,16.9,71.2,Degraded,2024-08-16,2025-04-21,22.6,False,2025-07-14
TWR_IPH_002,4G Tower Taiping,Perak,4G,2024-11-06,57.9,49.0,8.9,84.6,Active,2024-08-27,2025-04-06,18.4,True,2026-05-26
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-07,130.8,90.7,40.1,69.3,Active,2024-10-05,2025-02-14,23.6,False,2026-09-24
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-07,146.0,91.1,54.9,62.4,Active,2024-09-11,2025-03-20,12.7,False,2026-09-08
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-07,121.7,90.0,31.8,73.9,Active,2024-09-23,2025-04-18,20.4,False,2026-02-12
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-07,102.7,62.7,40.0,61.1,Active,2024-08-16,2025-03-29,15.4,False,2026-01-20
TWR_KL_005,4G Tower Ampang,Kuala Lumpur,4G,2024-11-07,63.9,54.9,9.0,85.9,Active,2024-09-22,2025-04-28,19.1,True,2026-07-06
TWR_SEL_001,5G Tower Shah Alam,Selangor,5G,2024-11-07,146.0,119.2,26.8,81.6,Active,2024-08-28,2025-02-27,12.7,True,2026-08-28
TWR_SEL_002,5G Tower Petaling Jaya,Selangor,5G,2024-11-07,117.9,100.1,17.8,84.9,Active,2024-10-03,2025-04-27,13.6,True,2025-11-09
TWR_SEL_003,5G Tower Subang Jaya,Selangor,5G,2024-11-07,132.9,111.4,21.4,83.9,Active,2024-08-21,2025-03-14,12.5,True,2025-06-24
TWR_SEL_004,4G Tower Klang,Selangor,4G,2024-11-07,51.3,39.0,12.3,76.0,Active,2024-08-14,2025-04-29,13.5,False,2025-07-06
TWR_SEL_005,4G Tower Kajang,Selangor,4G,2024-11-07,63.3,48.6,14.7,76.8,Active,2024-09-26,2025-04-09,18.5,False,2025-08-10
TWR_PNG_001,5G Tower Georgetown,Penang,5G,2024-11-07,111.6,83.3,28.3,74.7,Active,2024-08-28,2025-04-01,23.7,False,2026-02-03
TWR_PNG_002,4G Tower Bayan Lepas,Penang,4G,2024-11-07,58.0,42.8,15.2,73.8,Active,2024-09-07,2025-04-17,24.9,False,2026-07-22
TWR_PNG_003,4G Tower Butterworth,Penang,4G,2024-11-07,51.3,44.7,6.6,87.1,Active,2024-08-09,2025-03-01,24.4,True,2026-03-14
TWR_JHR_001,5G Tower Johor Bahru Central,Johor,5G,2024-11-07,101.9,78.0,23.9,76.6,Maintenance,2024-09-01,2025-02-16,24.4,False,2025-08-21
TWR_JHR_002,4G Tower Iskandar Puteri,Johor,4G,2024-11-07,51.8,44.1,7.7,85.1,Active,2024-09-03,2025-03-08,24.7,True,2026-07-04
TWR_JHR_003,4G Tower Skudai,Johor,4G,2024-11-07,61.7,54.8,6.9,88.8,Active,2024-10-05,2025-04-26,24.8,True,2026-02-27
TWR_SBH_001,4G Tower Kota Kinabalu,Sabah,4G,2024-11-07,61.5,52.0,9.5,84.6,Active,2024-09-10,2025-04-19,17.1,True,2026-04-27
TWR_SBH_002,4G Tower Sandakan,Sabah,4G,2024-11-07,53.2,46.3,6.9,87.1,Degraded,2024-08-16,2025-02-23,20.8,True,2025-06-14
TWR_SWK_001,4G Tower Kuching,Sarawak,4G,2024-11-07,65.9,49.5,16.5,75.0,Active,2024-09-21,2025-05-05,21.0,False,2025-12-04
TWR_SWK_002,4G Tower Miri,Sarawak,4G,2024-11-07,67.4,50.1,17.4,74.3,Active,2024-09-19,2025-05-04,17.8,False,2025-11-30
TWR_MLK_001,4G Tower Melaka Central,Melaka,4G,2024-11-07,64.1,50.0,14.2,77.9,Active,2024-08-15,2025-03-18,12.6,False,2025-07-13
TWR_IPH_001,4G Tower Ipoh,Perak,4G,2024-11-07,63.4,52.9,10.5,83.4,Active,2024-10-06,2025-02-13,24.5,True,2025-07-20
TWR_IPH_002,4G Tower Taiping,Perak,4G,2024-11-07,55.6,45.5,10.2,81.7,Active,2024-09-11,2025-03-24,16.4,True,2025-11-19
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-08,142.7,105.3,37.4,73.8,Active,2024-09-02,2025-04-24,12.1,False,2026-01-23
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-08,107.1,72.3,34.8,67.5,Active,2024-08-26,2025-03-01,23.9,False,2025-07-03
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-08,129.4,89.2,40.2,69.0,Active,2024-09-13,2025-04-29,14.9,False,2026-04-05
