customer_id,customer_segment,region,signup_date,plan_type,monthly_revenue,tenure_months,is_churned,churn_date,churn_reason
CUST_000025,Prepaid,Melaka,2020-02-16,NovaConnect Prepaid Plus,30,57,False,,
CUST_000026,Postpaid,Johor,2023-04-21,NovaConnect Postpaid 60,78,18,False,,
CUST_000027,Prepaid,Penang,2020-04-04,NovaConnect Prepaid Plus,30,55,False,,
CUST_000028,Postpaid,Penang,2024-03-13,NovaConnect Postpaid 40,58,7,False,,
CUST_000029,Postpaid,Sarawak,2023-11-24,NovaConnect Postpaid 40,58,11,False,,
CUST_000030,Postpaid,Johor,2020-01-02,NovaConnect 5G Postpaid 80,98,58,False,,
CUST_000031,Prepaid,Penang,2020-04-01,NovaConnect Prepaid Plus,30,55,False,,
CUST_000032,Postpaid,Johor,2023-01-03,NovaConnect Postpaid 60,78,22,False,,
CUST_000033,Prepaid,Sabah,2023-09-30,NovaConnect Prepaid Plus,30,13,False,,
CUST_000034,Postpaid,Melaka,2022-01-25,NovaConnect Postpaid 40,58,33,False,,
CUST_000035,Prepaid,Selangor,2024-03-12,NovaConnect Prepaid Plus,30,7,False,,
CUST_000036,Prepaid,Melaka,2023-10-02,NovaConnect Prepaid Basic,20,13,False,,
CUST_000037,Postpaid,Selangor,2022-03-04,NovaConnect 5G Postpaid 80,98,32,False,,
CUST_000038,Postpaid,Penang,2024-03-11,NovaConnect Postpaid 60,78,7,False,,
CUST_000039,Prepaid,Penang,2021-09-16,NovaConnect Prepaid Plus,30,38,False,,
CUST_000040,Postpaid,Penang,2020-03-04,NovaConnect 5G Postpaid 100,128,56,False,,
CUST_000041,Postpaid,Johor,2023-06-30,NovaConnect 5G Postpaid 80,98,16,False,,
CUST_000042,Prepaid,Melaka,2022-04-28,NovaConnect Prepaid Plus,30,30,False,,
CUST_000043,Business,Sabah,2023-01-23,NovaConnect Business Pro,299,21,False,,
CUST_000044,Postpaid,Melaka,2020-09-27,NovaConnect Postpaid 40,58,49,True,2024-07-15,Customer Service - Switched to Digi
CUST_000045,Postpaid,Melaka,2022-01-26,NovaConnect 5G Postpaid 80,98,33,False,,
CUST_000046,Postpaid,Melaka,2023-01-13,NovaConnect Postpaid 40,58,21,False,,
CUST_000047,Prepaid,Sabah,2019-11-18,NovaConnect Prepaid Basic,20,60,True,2024-09-21,Network Issues - Switched to U Mobile
CUST_000048,Postpaid,Johor,2022-02-21,NovaConnect Postpaid 40,58,32,False,,
CUST_000049,Postpaid,Sarawak,2020-10-03,NovaConnect Postpaid 40,58,49,False,,
CUST_000050,Prepaid,Melaka,2024-09-11,NovaConnect Prepaid Basic,20,1,False,,
CUST_000051,Postpaid,Kuala Lumpur,2024-04-30,NovaConnect 5G Postpaid 100,128,6,False,,
CUST_000052,Postpaid,Sabah,2022-12-04,NovaConnect Postpaid 40,58,23,False,,
CUST_000053,Postpaid,Johor,2024-03-15,NovaConnect Postpaid 60,78,7,False,,
CUST_000054,Postpaid,Selangor,2021-04-29,NovaConnect Postpaid 60,78,42,False,,
CUST_000055,Postpaid,Selangor,2020-01-16,NovaConnect Postpaid 40,58,58,False,,
CUST_000056,Postpaid,Perak,2020-06-24,NovaConnect 5G Postpaid 80,98,53,False,,
CUST_000057,Postpaid,Selangor,2020-01-06,NovaConnect 5G Postpaid 80,98,58,False,,
CUST_000058,Enterprise,Penang,2021-02-27,NovaConnect Enterprise 300,1599,44,False,,
CUST_000059,Prepaid,Melaka,2023-01-09,NovaConnect Prepaid Basic,20,22,False,,
CUST_000060,Postpaid,Melaka,2024-07-04,NovaConnect 5G Postpaid 80,98,4,False,,
CUST_000061,Prepaid,Kuala Lumpur,2023-09-17,NovaConnect Prepaid Basic,20,13,False,,
CUST_000062,Business,Penang,2020-12-05,NovaConnect Business Elite,399,47,False,,
CUST_000063,Prepaid,Sarawak,2024-09-04,NovaConnect Prepaid Plus,30,1,False,,
CUST_000064,Postpaid,Perak,2022-11-19,NovaConnect Postpaid 60,78,23,False,,
CUST_000065,Business,Johor,2024-09-13,NovaConnect Business Elite,399,1,False,,
CUST_000066,Prepaid,Selangor,2022-09-06,NovaConnect Prepaid Basic,20,26,False,,
CUST_000067,Postpaid,Johor,2020-12-05,NovaConnect 5G Postpaid 100,128,47,False,,
CUST_000068,Enterprise,Melaka,2023-07-06,NovaConnect Enterprise 300,1599,16,False,,
CUST_000069,Postpaid,Johor,2022-10-28,NovaConnect Postpaid 60,78,24,False,,
CUST_000070,Prepaid,Sabah,2022-12-09,NovaConnect Prepaid Basic,20,23,False,,
CUST_000071,Postpaid,Johor,2023-05-21,NovaConnect 5G Postpaid 80,98,17,False,,
CUST_000072,Postpaid,Sabah,2022-07-19,NovaConnect Postpaid 60,78,27,False,,
CUST_000073,Postpaid,Sarawak,2023-10-04,NovaConnect Postpaid 60,78,13,False,,
CUST_000074,Postpaid,Johor,2020-03-01,NovaConnect 5G Postpaid 100,128,56,False,,
CUST_000075,Postpaid,Selangor,2024-09-15,NovaConnect Postpaid 40,58,1,False,,
CUST_000076,Postpaid,Sarawak,2021-08-28,NovaConnect 5G Postpaid 80,98,38,False,,
CUST_000077,Postpaid,Kuala Lumpur,2020-10-20,NovaConnect 5G Postpaid 80,98,49,False,,
CUST_000078,Postpaid,Melaka,2021-05-31,NovaConnect 5G Postpaid 100,128,41,False,,
CUST_000079,Prepaid,Selangor,2021-12-13,NovaConnect Prepaid Basic,20,35,False,,
CUST_000080,Postpaid,Kuala Lumpur,2022-10-21,NovaConnect Postpaid 40,58,24,False,,
CUST_000081,Postpaid,Johor,2024-07-03,NovaConnect 5G Postpaid 80,98,4,False,,
CUST_000082,Postpaid,Perak,2020-09-04,NovaConnect 5G Postpaid 100,128,50,False,,
CUST_000083,Postpaid,Melaka,2022-01-14,NovaConnect Postpaid 60,78,34,False,,
CUST_000084,Prepaid,Selangor,2021-06-04,NovaConnect Prepaid Basic,20,41,False,,
CUST_000085,Business,Selangor,2024-08-26,NovaConnect Business Pro,299,2,False,,
CUST_000086,Business,Kuala Lumpur,2021-10-21,NovaConnect Business Elite,399,36,False,,
CUST_000087,Business,Perak,2021-03-15,NovaConnect Business Elite,399,44,False,,
CUST_000088,Postpaid,Sarawak,2021-04-10,NovaConnect Postpaid 60,78,43,False,,
CUST_000089,Prepaid,Kuala Lumpur,2020-05-22,NovaConnect Prepaid Basic,20,54,False,,
CUST_000090,Prepaid,Melaka,2022-06-10,NovaConnect Prepaid Plus,30,29,False,,
CUST_000091,Prepaid,Sarawak,2024-04-11,NovaConnect Prepaid Plus,30,6,False,,
CUST_000092,Prepaid,Perak,2023-10-03,NovaConnect Prepaid Basic,20,13,True,2024-07-08,Network Issues - Switched to U Mobile
CUST_000093,Enterprise,Melaka,2021-04-04,NovaConnect Enterprise 300,1599,43,False,,
CUST_000094,Postpaid,Sarawak,2023-07-05,NovaConnect Postpaid 40,58,16,False,,
CUST_000095,Postpaid,Penang,2022-10-07,NovaConnect 5G Postpaid 80,98,25,False,,
CUST_000096,Prepaid,Perak,2023-07-22,NovaConnect Prepaid Plus,30,15,False,,
CUST_000097,Business,Sarawak,2021-08-07,NovaConnect Business Pro,299,39,False,,
CUST_000098,Postpaid,Perak,2022-09-20,NovaConnect Postpaid 60,78,25,False,,
CUST_000099,Enterprise,Sabah,2022-12-21,NovaConnect Enterprise 500,2499,22,False,,
CUST_000100,Postpaid,Perak,2022-12-09,NovaConnect 5G Postpaid 80,98,23,False,,
CUST_000101,Business,Johor,2021-06-28,NovaConnect Business Pro,299,40,False,,
CUST_000102,Enterprise,Sabah,2024-06-08,NovaConnect Enterprise 500,2499,4,False,,
CUST_000103,Postpaid,Johor,2023-08-08,NovaConnect Postpaid 40,58,15,False,,
CUST_000104,Prepaid,Sabah,2021-07-08,NovaConnect Prepaid Plus,30,40,False,,
CUST_000105,Prepaid,Sabah,2023-05-17,NovaConnect Prepaid Basic,20,17,False,,
CUST_000106,Prepaid,Sabah,2020-09-21,NovaConnect Prepaid Basic,20,50,False,,
CUST_000107,Prepaid,Sabah,2021-06-30,NovaConnect Prepaid Basic,20,40,True,2024-08-17,Poor Coverage - Switched to Maxis
CUST_000108,Postpaid,Kuala Lumpur,2022-06-19,NovaConnect 5G Postpaid 80,98,28,False,,
CUST_000109,Prepaid,Sabah,2024-05-08,NovaConnect Prepaid Basic,20,5,False,,
CUST_000110,Enterprise,Sabah,2020-04-14,NovaConnect Enterprise 300,1599,55,False,,
CUST_000111,Postpaid,Selangor,2020-04-02,NovaConnect Postpaid 40,58,55,False,,
CUST_000112,Postpaid,Johor,2024-07-15,NovaConnect Postpaid 60,78,3,True,2024-10-08,Network Issues - Switched to U Mobile
CUST_000113,Enterprise,Sabah,2023-07-13,NovaConnect Enterprise 300,1599,15,False,,
CUST_000114,Prepaid,Penang,2021-04-12,NovaConnect Prepaid Basic,20,43,False,,
CUST_000115,Prepaid,Johor,2023-11-01,NovaConnect Prepaid Basic,20,12,False,,
CUST_000116,Postpaid,Sabah,2020-05-25,NovaConnect 5G Postpaid 80,98,54,False,,
CUST_000117,Business,Sarawak,2022-06-25,NovaConnect Business Pro,299,28,False,,
CUST_000118,Postpaid,Johor,2019-12-13,NovaConnect Postpaid 60,78,59,False,,
CUST_000119,Postpaid,Melaka,2024-04-06,NovaConnect 5G Postpaid 80,98,6,False,,
CUST_000120,Prepaid,Johor,2024-09-07,NovaConnect Prepaid Basic,20,1,False,,
CUST_000121,Business,Penang,2020-02-10,NovaConnect Business Pro,299,57,False,,
CUST_000122,Postpaid,Perak,2020-01-26,NovaConnect Postpaid 40,58,58,False,,
CUST_000123,Postpaid,Selangor,2024-08-25,NovaConnect 5G Postpaid 80,98,2,False,,
CUST_000124,Business,Perak,2021-04-16,NovaConnect Business Elite,399,43,False,,
CUST_000125,Business,Perak,2021-11-04,NovaConnect Business Elite,399,36,False,,
CUST_000126,Postpaid,Sarawak,2023-02-06,NovaConnect 5G Postpaid 100,128,21,False,,
CUST_000127,Prepaid,Melaka,2020-10-02,NovaConnect Prepaid Basic,20,49,False,,
CUST_000128,Prepaid,Perak,2020-11-20,NovaConnect Prepaid Basic,20,48,False,,
CUST_000129,Prepaid,Johor,2022-02-10,NovaConnect Prepaid Plus,30,33,False,,
CUST_000130,Prepaid,Johor,2024-01-02,NovaConnect Prepaid Basic,20,10,False,,
CUST_000131,Postpaid,Sabah,2023-03-29,NovaConnect Postpaid 40,58,19,False,,
CUST_000132,Prepaid,Kuala Lumpur,2019-11-17,NovaConnect Prepaid Plus,30,60,False,,
CUST_000133,Postpaid,Selangor,2023-03-13,NovaConnect 5G Postpaid 80,98,19,True,2024-08-20,Poor Coverage - Switched to Maxis
CUST_000134,Business,Kuala Lumpur,2023-01-21,NovaConnect Business Pro,299,21,False,,
CUST_000135,Business,Sabah,2020-02-01,NovaConnect Business Elite,399,57,False,,
CUST_000136,Postpaid,Johor,2021-01-23,NovaConnect 5G Postpaid 100,128,45,False,,
CUST_000137,Business,Sabah,2023-11-01,NovaConnect Business Elite,399,12,False,,
CUST_000138,Business,Perak,2020-06-30,NovaConnect Business Elite,399,52,False,,
CUST_000139,Business,Kuala Lumpur,2022-09-07,NovaConnect Business Elite,399,26,False,,
CUST_000140,Prepaid,Selangor,2023-03-21,NovaConnect Prepaid Basic,20,19,False,,
CUST_000141,Postpaid,Melaka,2022-04-13,NovaConnect Postpaid 60,78,31,False,,
CUST_000142,Business,Penang,2020-07-25,NovaConnect Business Elite,399,52,False,,
CUST_000143,Business,Sabah,2022-09-25,NovaConnect Business Pro,299,25,False,,
CUST_000144,Postpaid,Johor,2022-01-21,NovaConnect 5G Postpaid 100,128,33,False,,
CUST_000145,Business,Sarawak,2020-06-04,NovaConnect Business Pro,299,53,False,,
CUST_000146,Postpaid,Sabah,2023-07-23,NovaConnect Postpaid 40,58,15,False,,
CUST_000147,Postpaid,Johor,2020-04-22,NovaConnect Postpaid 40,58,55,False,,
CUST_000148,Postpaid,Perak,2020-08-16,NovaConnect Postpaid 60,78,51,False,,
CUST_000149,Postpaid,Selangor,2020-10-22,NovaConnect Postpaid 40,58,49,False,,
CUST_000150,Prepaid,Johor,2020-08-02,NovaConnect Prepaid Basic,20,51,False,,
CUST_000151,Postpaid,Melaka,2023-03-31,NovaConnect 5G Postpaid 100,128,19,False,,
CUST_000152,Postpaid,Johor,2020-10-05,NovaConnect Postpaid 40,58,49,False,,
CUST_000153,Business,Kuala Lumpur,2023-05-19,NovaConnect Business Elite,399,17,False,,
CUST_000154,Postpaid,Selangor,2020-07-21,NovaConnect Postpaid 40,58,52,False,,
CUST_000155,Postpaid,Melaka,2020-07-17,NovaConnect 5G Postpaid 80,98,52,False,,
CUST_000156,Postpaid,Johor,2023-10-07,NovaConnect 5G Postpaid 100,128,13,False,,
CUST_000157,Postpaid,Johor,2019-11-11,NovaConnect 5G Postpaid 100,128,60,False,,
CUST_000158,Business,Melaka,2022-11-06,NovaConnect Business Pro,299,24,False,,
CUST_000159,Postpaid,Melaka,2021-03-18,NovaConnect Postpaid 40,58,44,False,,
CUST_000160,Prepaid,Penang,2022-08-13,NovaConnect Prepaid Plus,30,27,False,,
CUST_000161,Prepaid,Selangor,2023-11-22,NovaConnect Prepaid Plus,30,11,False,,
CUST_000162,Postpaid,Perak,2023-08-03,NovaConnect 5G Postpaid 80,98,15,False,,
CUST_000163,Enterprise,Selangor,2023-01-19,NovaConnect Enterprise 500,2499,21,False,,
CUST_000164,Prepaid,Selangor,2023-05-10,NovaConnect Prepaid Plus,30,18,False,,
CUST_000165,Postpaid,Sabah,2022-02-20,NovaConnect Postpaid 40,58,32,False,,
CUST_000166,Postpaid,Selangor,2022-05-28,NovaConnect 5G Postpaid 80,98,29,False,,
CUST_000167,Prepaid,Sabah,2020-10-19,NovaConnect Prepaid Plus,30,49,False,,
CUST_000168,Prepaid,Penang,2024-04-30,NovaConnect Prepaid Plus,30,6,False,,
CUST_000169,Business,Selangor,2022-02-13,NovaConnect Business Pro,299,33,False,,
CUST_000170,Postpaid,Johor,2021-02-27,NovaConnect 5G Postpaid 80,98,44,False,,
CUST_000171,Postpaid,Kuala Lumpur,2022-01-01,NovaConnect Postpaid 40,58,34,False,,
CUST_000172,Prepaid,Kuala Lumpur,2021-01-02,NovaConnect Prepaid Plus,30,46,False,,
CUST_000173,Postpaid,Selangor,2024-02-26,NovaConnect 5G Postpaid 80,98,8,False,,
CUST_000174,Prepaid,Selangor,2022-05-10,NovaConnect Prepaid Basic,20,30,False,,
CUST_000175,Prepaid,Penang,2021-02-10,NovaConnect Prepaid Basic,20,45,False,,
CUST_000176,Prepaid,Johor,2021-09-08,NovaConnect Prepaid Basic,20,38,False,,
CUST_000177,Business,Johor,2023-06-10,NovaConnect Business Pro,299,17,False,,
CUST_000178,Prepaid,Perak,2024-04-14,NovaConnect Prepaid Plus,30,6,False,,
CUST_000179,Prepaid,Sarawak,2022-08-22,NovaConnect Prepaid Plus,30,26,False,,
CUST_000180,Prepaid,Selangor,2022-12-08,NovaConnect Prepaid Plus,30,23,False,,
CUST_000181,Prepaid,Selangor,2023-05-16,NovaConnect Prepaid Basic,20,17,False,,
CUST_000182,Business,Penang,2023-11-26,NovaConnect Business Pro,299,11,False,,
CUST_000183,Prepaid,Kuala Lumpur,2024-04-15,NovaConnect Prepaid Plus,30,6,False,,
CUST_000184,Postpaid,Melaka,2024-06-14,NovaConnect Postpaid 60,78,4,False,,
CUST_000185,Postpaid,Penang,2021-11-15,NovaConnect Postpaid 40,58,36,False,,
CUST_000186,Postpaid,Perak,2022-06-28,NovaConnect 5G Postpaid 80,98,28,False,,
CUST_000187,Postpaid,Melaka,2022-07-13,NovaConnect Postpaid 40,58,28,False,,
CUST_000188,Prepaid,Johor,2023-01-31,NovaConnect Prepaid Plus,30,21,False,,
CUST_000189,Prepaid,Sabah,2022-05-25,NovaConnect Prepaid Basic,20,29,False,,
CUST_000190,Prepaid,Penang,2024-02-28,NovaConnect Prepaid Basic,20,8,False,,
CUST_000191,Business,Kuala Lumpur,2021-10-04,NovaConnect Business Elite,399,37,False,,
CUST_000192,Business,Melaka,2022-06-07,NovaConnect Business Elite,399,29,True,2024-09-14,Customer Service - Switched to Digi
CUST_000193,Prepaid,Melaka,2024-04-19,NovaConnect Prepaid Plus,30,6,False,,
CUST_000194,Postpaid,Selangor,2023-07-10,NovaConnect Postpaid 40,58,16,False,,
CUST_000195,Postpaid,Perak,2023-05-19,NovaConnect 5G Postpaid 100,128,17,False,,
CUST_000196,Business,Melaka,2022-12-07,NovaConnect Business Elite,399,23,False,,
CUST_000197,Postpaid,Melaka,2022-06-01,NovaConnect Postpaid 40,58,29,False,,
CUST_000198,Prepaid,Sabah,2021-01-13,NovaConnect Prepaid Basic,20,46,False,,
CUST_000199,Postpaid,Melaka,2024-08-22,NovaConnect Postpaid 40,58,2,False,,
CUST_000200,Business,Perak,2024-03-14,NovaConnect Business Elite,399,7,False,,
CUST_000201,Prepaid,Sarawak,2021-02-25,NovaConnect Prepaid Plus,30,44,True,2024-08-11,Network Issues - Switched to U Mobile
CUST_000202,Postpaid,Johor,2019-12-15,NovaConnect Postpaid 40,58,59,False,,
CUST_000203,Postpaid,Perak,2022-08-26,NovaConnect 5G Postpaid 80,98,26,False,,
CUST_000204,Postpaid,Johor,2023-08-06,NovaConnect Postpaid 40,58,15,False,,
CUST_000205,Postpaid,Sabah,2021-01-01,NovaConnect 5G Postpaid 80,98,46,False,,
CUST_000206,Postpaid,Penang,2023-05-08,NovaConnect 5G Postpaid 100,128,18,False,,
CUST_000207,Business,Sabah,2020-02-27,NovaConnect Business Pro,299,56,False,,
CUST_000208,Postpaid,Melaka,2024-03-01,NovaConnect Postpaid 40,58,8,False,,
CUST_000209,Postpaid,Sabah,2021-08-08,NovaConnect Postpaid 40,58,39,False,,
CUST_000210,Postpaid,Perak,2023-01-03,NovaConnect Postpaid 40,58,22,False,,
CUST_000211,Postpaid,Sabah,2022-03-13,NovaConnect 5G Postpaid 80,98,32,False,,
CUST_000212,Postpaid,Melaka,2020-01-05,NovaConnect 5G Postpaid 80,98,58,False,,
CUST_000213,Postpaid,Sabah,2020-06-25,NovaConnect Postpaid 60,78,53,False,,
CUST_000214,Prepaid,Johor,2023-08-29,NovaConnect Prepaid Basic,20,14,False,,
CUST_000215,Prepaid,Melaka,2020-07-27,NovaConnect Prepaid Plus,30,51,False,,
CUST_000216,Postpaid,Johor,2024-04-13,NovaConnect 5G Postpaid 100,128,6,False,,
CUST_000217,Enterprise,Kuala Lumpur,2023-07-10,NovaConnect Enterprise 300,1599,16,False,,
CUST_000218,Postpaid,Melaka,2022-10-29,NovaConnect Postpaid 60,78,24,False,,
CUST_000219,Postpaid,Sabah,2022-01-16,NovaConnect Postpaid 60,78,34,False,,
CUST_000220,Prepaid,Johor,2024-06-22,NovaConnect Prepaid Basic,20,4,False,,
CUST_000221,Business,Melaka,2021-05-26,NovaConnect Business Elite,399,41,False,,
CUST_000222,Postpaid,Sabah,2021-08-22,NovaConnect Postpaid 60,78,38,False,,
CUST_000223,Postpaid,Sarawak,2021-04-10,NovaConnect 5G Postpaid 80,98,43,False,,
CUST_000224,Postpaid,Sarawak,2023-05-18,NovaConnect Postpaid 40,58,17,False,,
CUST_000225,Prepaid,Kuala Lumpur,2022-12-15,NovaConnect Prepaid Basic,20,22,False,,
CUST_000226,Prepaid,Sabah,2021-02-23,NovaConnect Prepaid Plus,30,44,False,,
CUST_000227,Enterprise,Melaka,2020-12-11,NovaConnect Enterprise 500,2499,47,False,,
CUST_000228,Prepaid,Kuala Lumpur,2021-08-29,NovaConnect Prepaid Basic,20,38,False,,
CUST_000229,Postpaid,Selangor,2021-01-09,NovaConnect 5G Postpaid 80,98,46,False,,
CUST_000230,Business,Johor,2020-06-01,NovaConnect Business Pro,299,53,True,2024-09-19,Pricing - Switched to U Mobile
CUST_000231,Postpaid,Sabah,2020-04-10,NovaConnect Postpaid 40,58,55,False,,
CUST_000232,Postpaid,Kuala Lumpur,2022-06-25,NovaConnect Postpaid 40,58,28,False,,
CUST_000233,Prepaid,Sarawak,2022-09-13,NovaConnect Prepaid Basic,20,26,False,,
CUST_000234,Postpaid,Sarawak,2022-09-21,NovaConnect Postpaid 40,58,25,False,,
CUST_000235,Prepaid,Perak,2024-05-14,NovaConnect Prepaid Plus,30,5,False,,
CUST_000236,Postpaid,Sarawak,2023-05-05,NovaConnect 5G Postpaid 100,128,18,False,,
CUST_000237,Postpaid,Kuala Lumpur,2020-12-03,NovaConnect Postpaid 60,78,47,False,,
CUST_000238,Prepaid,Johor,2023-10-01,NovaConnect Prepaid Plus,30,13,False,,
CUST_000239,Business,Sabah,2020-10-25,NovaConnect Business Pro,299,48,False,,
CUST_000240,Postpaid,Sabah,2021-07-12,NovaConnect 5G Postpaid 100,128,40,False,,
CUST_000241,Business,Sarawak,2022-01-15,NovaConnect Business Pro,299,34,False,,
CUST_000242,Postpaid,Sabah,2019-11-12,NovaConnect 5G Postpaid 80,98,60,False,,
CUST_000243,Postpaid,Selangor,2021-12-14,NovaConnect 5G Postpaid 100,128,35,False,,
CUST_000244,Business,Kuala Lumpur,2023-12-30,NovaConnect Business Pro,299,10,False,,
CUST_000245,Prepaid,Selangor,2023-05-07,NovaConnect Prepaid Basic,20,18,False,,
CUST_000246,Business,Selangor,2020-01-03,NovaConnect Business Pro,299,58,False,,
CUST_000247,Business,Johor,2024-09-19,NovaConnect Business Pro,299,1,False,,
CUST_000248,Postpaid,Melaka,2022-11-05,NovaConnect Postpaid 40,58,24,False,,
CUST_000249,Postpaid,Melaka,2022-01-14,NovaConnect 5G Postpaid 80,98,34,False,,
CUST_000250,Business,Sabah,2024-08-09,NovaConnect Business Elite,399,2,False,,
CUST_000251,Postpaid,Selangor,2022-12-17,NovaConnect 5G Postpaid 100,128,22,False,,
CUST_000252,Postpaid,Sarawak,2020-03-02,NovaConnect 5G Postpaid 100,128,56,False,,
CUST_000253,Prepaid,Johor,2021-12-27,NovaConnect Prepaid Basic,20,34,False,,
CUST_000254,Postpaid,Melaka,2022-10-15,NovaConnect Postpaid 60,78,24,False,,
CUST_000255,Enterprise,Kuala Lumpur,2022-01-20,NovaConnect Enterprise 300,1599,33,False,,
CUST_000256,Postpaid,Melaka,2020-04-21,NovaConnect 5G Postpaid 100,128,55,False,,
CUST_000257,Prepaid,Penang,2021-02-02,NovaConnect Prepaid Basic,20,45,False,,
CUST_000258,Postpaid,Kuala Lumpur,2022-06-07,NovaConnect Postpaid 40,58,29,False,,
CUST_000259,Prepaid,Perak,2020-09-29,NovaConnect Prepaid Basic,20,49,False,,
CUST_000260,Business,Sarawak,2023-10-25,NovaConnect Business Pro,299,12,False,,
CUST_000261,Prepaid,Melaka,2020-04-12,NovaConnect Prepaid Basic,20,55,True,2024-05-15,Poor Coverage - Switched to Maxis
CUST_000262,Postpaid,Perak,2022-09-05,NovaConnect Postpaid 60,78,26,False,,
CUST_000263,Prepaid,Perak,2024-08-28,NovaConnect Prepaid Plus,30,2,False,,
CUST_000264,Postpaid,Melaka,2022-12-24,NovaConnect 5G Postpaid 80,98,22,False,,
CUST_000265,Postpaid,Perak,2021-03-28,NovaConnect Postpaid 60,78,43,False,,
CUST_000266,Prepaid,Melaka,2021-09-10,NovaConnect Prepaid Plus,30,38,False,,
CUST_000267,Prepaid,Selangor,2020-01-02,NovaConnect Prepaid Plus,30,58,False,,
CUST_000268,Postpaid,Kuala Lumpur,2021-06-07,NovaConnect 5G Postpaid 80,98,41,False,,
CUST_000269,Prepaid,Kuala Lumpur,2022-11-06,NovaConnect Prepaid Basic,20,24,False,,
CUST_000270,Prepaid,Kuala Lumpur,2022-02-17,NovaConnect Prepaid Plus,30,32,False,,
CUST_000271,Prepaid,Sarawak,2023-01-04,NovaConnect Prepaid Plus,30,22,False,,
CUST_000272,Prepaid,Perak,2024-03-29,NovaConnect Prepaid Plus,30,7,False,,
CUST_000273,Postpaid,Selangor,2022-01-03,NovaConnect 5G Postpaid 80,98,34,False,,
CUST_000274,Postpaid,Sabah,2024-02-16,NovaConnect 5G Postpaid 80,98,8,False,,
CUST_000275,Prepaid,Perak,2023-03-04,NovaConnect Prepaid Basic,20,20,True,2024-06-08,Poor Coverage - Switched to Maxis
CUST_000276,Postpaid,Sabah,2021-07-21,NovaConnect 5G Postpaid 100,128,39,False,,
CUST_000277,Prepaid,Johor,2020-08-25,NovaConnect Prepaid Basic,20,50,True,2024-09-25,Better Offer - Switched to Maxis
CUST_000278,Prepaid,Perak,2023-03-19,NovaConnect Prepaid Plus,30,19,False,,
CUST_000279,Postpaid,Sarawak,2023-03-04,NovaConnect 5G Postpaid 80,98,20,False,,
CUST_000280,Postpaid,Perak,2021-05-18,NovaConnect Postpaid 60,78,42,False,,
CUST_000281,Postpaid,Melaka,2020-05-22,NovaConnect Postpaid 40,58,54,False,,
CUST_000282,Business,Melaka,2020-02-15,NovaConnect Business Elite,399,57,False,,
CUST_000283,Prepaid,Johor,2022-04-13,NovaConnect Prepaid Plus,30,31,False,,
CUST_000284,Postpaid,Sabah,2022-08-11,NovaConnect Postpaid 40,58,27,False,,
CUST_000285,Business,Melaka,2023-06-07,NovaConnect Business Pro,299,17,False,,
CUST_000286,Enterprise,Selangor,2022-11-13,NovaConnect Enterprise 300,1599,23,False,,
