ITEM_NAME,BRAND,CATEGORY,SUBCATEGORY,DISCIPLINE,SKILL_LEVEL,GENDER,PRICE,PRODUCT_TYPE,FLEX_RATING,DESCRIPTION
Freeride Ridge 156,Black Crows,Equipment,Skis,Freeride,Expert,Male,722.49,Ski,Medium,Lightweight yet powerful freeride ski. poplar wood layup with sintered graphite base for responsive flex. Ideal for steep couloirs. Carbon stringers reduce weight.
Freeride Zenith 166,Ortovox,Equipment,Skis,Freeride,Intermediate,Male,467.59,Ski,Medium-Stiff,High-performance freeride ski with beech hardwood core and high-density sintered base. 112mm waist for steep couloirs. Metal laminate for high-speed dampening.
Alpine Vertex 170,Ridgeline,Equipment,Skis,Alpine,Expert,Male,711.24,Ski,Medium-Stiff,Alpine ski designed for expert skiers. 72mm underfoot provides responsive flex in steep couloirs. ABS sidewall for direct power transfer.
Touring Vertex 182,Volkl,Equipment,Skis,Touring,Advanced,Unisex,958.64,Ski,Medium-Stiff,High-performance touring ski with beech hardwood core and sintered base. 76mm waist for mixed snow. Tip and tail rocker for easy turn initiation.
Park Summit 176,Ridgeline,Equipment,Skis,Park,Advanced,Unisex,903.66,Ski,Medium-Stiff,Lightweight yet powerful park ski. paulownia wood layup with high-density sintered base for stability at speed. Ideal for steep couloirs. Metal laminate for high-speed dampening.
All-Mountain Ridge 178,Ridgeline,Equipment,Skis,All-Mountain,Intermediate,Female,1160.66,Ski,Soft,Lightweight yet powerful all-mountain ski. beech hardwood layup with waxed sintered base for dampened ride. Ideal for off-piste powder. Metal laminate for high-speed dampening.
Touring Apex 178,Ridgeline,Equipment,Skis,Touring,Intermediate,Male,1154.27,Ski,Very Stiff,Touring ski designed for intermediate skiers. 108mm underfoot provides stability at speed in mixed snow. ABS sidewall for direct power transfer.
Park Summit 180,Ridgeline,Equipment,Skis,Park,Advanced,Female,955.72,Ski,Medium-Stiff,High-performance park ski with fiberglass composite core and extruded base. 112mm waist for off-piste powder. Metal laminate for high-speed dampening.
Freeride Charger 170,Volkl,Equipment,Skis,Freeride,Advanced,Male,467.32,Ski,Medium-Soft,Lightweight yet powerful freeride ski. fiberglass composite layup with waxed sintered base for float in deep snow. Ideal for spring slush. ABS sidewall for direct power transfer.
Freeride Vertex 188,Ridgeline,Equipment,Skis,Freeride,Intermediate,Unisex,1118.49,Ski,Soft,High-performance freeride ski with paulownia wood core and high-density sintered base. 84mm waist for variable conditions. 3D cap construction for light weight.
Alpine Summit 180,Black Crows,Equipment,Skis,Alpine,Expert,Male,847.35,Ski,Very Stiff,Versatile alpine ski built for backcountry bowls. beech hardwood construction delivers confident grip. ABS sidewall for direct power transfer.
Park Surge 170,Salomon,Equipment,Skis,Park,Expert,Female,656.98,Ski,Very Stiff,Versatile park ski built for spring slush. fiberglass composite construction delivers dampened ride. Carbon stringers reduce weight.
Touring Carver 166,Ridgeline,Equipment,Skis,Touring,Beginner,Male,736.28,Ski,Medium-Soft,Lightweight yet powerful touring ski. carbon fiber layup with sintered base for confident grip. Ideal for hard-pack ice. Early rise tip floats in powder.
Park Surge 188,Ridgeline,Equipment,Skis,Park,Expert,Unisex,1091.55,Ski,Soft,Lightweight yet powerful park ski. balsa-carbon layup with high-density sintered base for effortless carving. Ideal for deep powder days. Metal laminate for high-speed dampening.
All-Mountain Pro 170,Black Crows,Equipment,Skis,All-Mountain,Intermediate,Female,775.88,Ski,Medium,Versatile all-mountain ski built for hard-pack ice. balsa-carbon construction delivers confident grip. Tip and tail rocker for easy turn initiation.
All-Mountain Tour 184,Ortovox,Equipment,Skis,All-Mountain,Beginner,Female,946.25,Ski,Stiff,Lightweight yet powerful all-mountain ski. balsa-carbon layup with extruded base for dampened ride. Ideal for variable conditions. Titanal reinforcement for edge hold.
Park Vertex 178,Ridgeline,Equipment,Skis,Park,Advanced,Female,1013.01,Ski,Medium,Park ski designed for advanced skiers. 76mm underfoot provides stability at speed in spring slush. Titanal reinforcement for edge hold.
Alpine Blaze 170,Ridgeline,Equipment,Skis,Alpine,Beginner,Male,1078.42,Ski,Medium-Soft,Lightweight yet powerful alpine ski. ash-poplar layup with extruded base for float in deep snow. Ideal for spring slush. Carbon stringers reduce weight.
Touring Surge 184,Salomon,Equipment,Skis,Touring,Intermediate,Unisex,987.77,Ski,Very Stiff,Lightweight yet powerful touring ski. ash-poplar layup with sintered graphite base for effortless carving. Ideal for groomed runs. Metal laminate for high-speed dampening.
Freeride Zenith 188,Ortovox,Equipment,Skis,Freeride,Beginner,Unisex,631.14,Ski,Very Stiff,Freeride ski designed for beginner skiers. 76mm underfoot provides effortless carving in groomed runs. Early rise tip floats in powder.
Touring Rocket 180,Ridgeline,Equipment,Skis,Touring,Beginner,Female,774.14,Ski,Soft,Lightweight yet powerful touring ski. fiberglass composite layup with extruded base for dampened ride. Ideal for variable conditions. 3D cap construction for light weight.
All-Mountain Edge 170,Ridgeline,Equipment,Skis,All-Mountain,Advanced,Female,658.20,Ski,Soft,Lightweight yet powerful all-mountain ski. carbon fiber layup with high-density sintered base for stability at speed. Ideal for hard-pack ice. Early rise tip floats in powder.
Freeride Ridge 176,Volkl,Equipment,Skis,Freeride,Expert,Male,704.25,Ski,Medium,Versatile freeride ski built for backcountry bowls. bamboo-carbon construction delivers playful turn initiation. Full twin-tip for switch riding.
Park Edge 180,Salomon,Equipment,Skis,Park,Intermediate,Unisex,982.88,Ski,Very Stiff,Park ski designed for intermediate skiers. 88mm underfoot provides float in deep snow in steep couloirs. ABS sidewall for direct power transfer.
Touring Zenith 182,Salomon,Equipment,Skis,Touring,Expert,Unisex,768.13,Ski,Medium,Touring ski designed for expert skiers. 116mm underfoot provides dampened ride in spring slush. Metal laminate for high-speed dampening.
Freeride Zenith 188,Ridgeline,Equipment,Skis,Freeride,Advanced,Male,1162.16,Ski,Stiff,High-performance freeride ski with ash-poplar core and extruded base. 84mm waist for spring slush. Metal laminate for high-speed dampening.
Touring Summit 166,Volkl,Equipment,Skis,Touring,Intermediate,Female,459.61,Ski,Medium,Versatile touring ski built for groomed runs. ash-poplar construction delivers dampened ride. 3D cap construction for light weight.
Park Edge 184,Black Crows,Equipment,Skis,Park,Beginner,Male,801.05,Ski,Medium,High-performance park ski with beech hardwood core and extruded base. 72mm waist for mixed snow. Pre-waxed race base.
Alpine Tour 166,Ridgeline,Equipment,Skis,Alpine,Beginner,Male,1160.84,Ski,Stiff,Lightweight yet powerful alpine ski. carbon fiber layup with sintered base for float in deep snow. Ideal for hard-pack ice. Multilayer wood core for torsional stiffness.
Park Pro 178,Ridgeline,Equipment,Skis,Park,Advanced,Unisex,875.47,Ski,Medium,Versatile park ski built for steep couloirs. paulownia wood construction delivers playful turn initiation. Metal laminate for high-speed dampening.
All-Mountain Blaze 156,Ridgeline,Equipment,Skis,All-Mountain,Beginner,Male,786.88,Ski,Medium-Stiff,Lightweight yet powerful all-mountain ski. fiberglass composite layup with sintered graphite base for dampened ride. Ideal for steep couloirs. Metal laminate for high-speed dampening.
Freeride Charger 184,Ridgeline,Equipment,Skis,Freeride,Advanced,Unisex,1051.93,Ski,Very Stiff,Versatile freeride ski built for steep couloirs. balsa-carbon construction delivers dampened ride. Tip and tail rocker for easy turn initiation.
Freeride Edge 188,Ridgeline,Equipment,Skis,Freeride,Advanced,Unisex,1139.89,Ski,Stiff,Lightweight yet powerful freeride ski. paulownia wood layup with high-density sintered base for dampened ride. Ideal for mixed snow. ABS sidewall for direct power transfer.
All-Mountain Pro 188,Ridgeline,Equipment,Skis,All-Mountain,Beginner,Female,901.79,Ski,Medium,Versatile all-mountain ski built for groomed runs. paulownia wood construction delivers stability at speed. Metal laminate for high-speed dampening.
Park Edge 184,Ridgeline,Equipment,Skis,Park,Advanced,Male,925.09,Ski,Medium-Stiff,High-performance park ski with paulownia wood core and high-density sintered base. 92mm waist for hard-pack ice. Early rise tip floats in powder.
Touring Drift 180,Volkl,Equipment,Skis,Touring,Expert,Unisex,945.94,Ski,Medium,High-performance touring ski with poplar wood core and high-density sintered base. 76mm waist for deep powder days. Metal laminate for high-speed dampening.
Park Charger 182,Ortovox,Equipment,Skis,Park,Beginner,Unisex,758.94,Ski,Medium-Stiff,Park ski designed for beginner skiers. 100mm underfoot provides float in deep snow in spring slush. Titanal reinforcement for edge hold.
Touring Apex 180,Black Crows,Equipment,Skis,Touring,Expert,Unisex,470.65,Ski,Soft,High-performance touring ski with carbon fiber core and extruded base. 88mm waist for backcountry bowls. Titanal reinforcement for edge hold.
Alpine Zenith 186,Ridgeline,Equipment,Skis,Alpine,Expert,Male,822.78,Ski,Medium-Soft,Lightweight yet powerful alpine ski. bamboo-carbon layup with waxed sintered base for confident grip. Ideal for mixed snow. ABS sidewall for direct power transfer.
All-Mountain Ridge 170,Ridgeline,Equipment,Skis,All-Mountain,Intermediate,Female,830.18,Ski,Stiff,High-performance all-mountain ski with ash-poplar core and sintered base. 88mm waist for hard-pack ice. Early rise tip floats in powder.
Touring Rocket 180,Ridgeline,Equipment,Skis,Touring,Expert,Male,812.26,Ski,Stiff,Versatile touring ski built for steep couloirs. balsa-carbon construction delivers effortless carving. Full twin-tip for switch riding.
Park Surge 188,Volkl,Equipment,Skis,Park,Beginner,Female,977.92,Ski,Medium-Stiff,Versatile park ski built for variable conditions. balsa-carbon construction delivers stability at speed. Pre-waxed race base.
All-Mountain Edge 180,Black Crows,Equipment,Skis,All-Mountain,Advanced,Male,843.46,Ski,Soft,All-Mountain ski designed for advanced skiers. 96mm underfoot provides confident grip in variable conditions. Carbon stringers reduce weight.
Park Rocket 186,Ridgeline,Equipment,Skis,Park,Beginner,Female,734.01,Ski,Stiff,Versatile park ski built for off-piste powder. fiberglass composite construction delivers dampened ride. Full twin-tip for switch riding.
Park Zenith 188,Salomon,Equipment,Skis,Park,Beginner,Unisex,781.76,Ski,Soft,Park ski designed for beginner skiers. 72mm underfoot provides dampened ride in deep powder days. Titanal reinforcement for edge hold.
Freeride Carver 178,Ridgeline,Equipment,Skis,Freeride,Intermediate,Unisex,960.35,Ski,Stiff,Lightweight yet powerful freeride ski. ash-poplar layup with extruded base for float in deep snow. Ideal for hard-pack ice. Multilayer wood core for torsional stiffness.
Freeride Apex 186,Ortovox,Equipment,Skis,Freeride,Intermediate,Female,793.68,Ski,Medium,Lightweight yet powerful freeride ski. poplar wood layup with high-density sintered base for playful turn initiation. Ideal for backcountry bowls. Tip and tail rocker for easy turn initiation.
All-Mountain Vertex 178,Ortovox,Equipment,Skis,All-Mountain,Advanced,Unisex,636.57,Ski,Very Stiff,Lightweight yet powerful all-mountain ski. bamboo-carbon layup with extruded base for float in deep snow. Ideal for spring slush. Carbon stringers reduce weight.
All-Mountain Apex 172,Black Crows,Equipment,Skis,All-Mountain,Advanced,Unisex,1182.46,Ski,Soft,All-Mountain ski designed for advanced skiers. 72mm underfoot provides confident grip in groomed runs. Multilayer wood core for torsional stiffness.
Freeride Apex 186,Salomon,Equipment,Skis,Freeride,Advanced,Male,914.67,Ski,Medium-Soft,High-performance freeride ski with ash-poplar core and sintered base. 112mm waist for groomed runs. Metal laminate for high-speed dampening.
Freeride Charger 176,Black Crows,Equipment,Skis,Freeride,Beginner,Female,760.63,Ski,Very Stiff,Versatile freeride ski built for backcountry bowls. ash-poplar construction delivers dampened ride. 3D cap construction for light weight.
Park Tour 176,Ridgeline,Equipment,Skis,Park,Advanced,Unisex,800.25,Ski,Soft,High-performance park ski with ash-poplar core and extruded base. 112mm waist for hard-pack ice. 3D cap construction for light weight.
Alpine Zenith 162,Salomon,Equipment,Skis,Alpine,Advanced,Unisex,725.44,Ski,Medium-Stiff,Lightweight yet powerful alpine ski. bamboo-carbon layup with waxed sintered base for float in deep snow. Ideal for deep powder days. Carbon stringers reduce weight.
All-Mountain Vertex 170,Ridgeline,Equipment,Skis,All-Mountain,Advanced,Unisex,496.41,Ski,Very Stiff,High-performance all-mountain ski with fiberglass composite core and sintered graphite base. 112mm waist for hard-pack ice. Carbon stringers reduce weight.
Touring Carver 162,Ortovox,Equipment,Skis,Touring,Expert,Male,1114.44,Ski,Medium-Soft,Lightweight yet powerful touring ski. balsa-carbon layup with high-density sintered base for edge-to-edge precision. Ideal for backcountry bowls. ABS sidewall for direct power transfer.
Park Edge 156,Salomon,Equipment,Skis,Park,Expert,Female,726.90,Ski,Very Stiff,High-performance park ski with fiberglass composite core and extruded base. 92mm waist for off-piste powder. Early rise tip floats in powder.
Freeride Pro Boot 70,Ridgeline,Equipment,Boots,Freeride,Beginner,Female,630.38,Boot,70,70-flex freeride boot with heat-moldable liner and rubber touring sole. Wide last for comfort. Designed for beginner skiers seeking edge-to-edge precision.
All-Mountain Comfort Boot 90,Volkl,Equipment,Boots,All-Mountain,Intermediate,Unisex,705.53,Boot,90,90-flex all-mountain boot with Intuition Pro liner and Vibram Megagrip sole. Removable spoiler for flex adjustment. Designed for intermediate skiers seeking stability at speed.
All-Mountain Pro Boot 70,Ortovox,Equipment,Boots,All-Mountain,Advanced,Male,629.53,Boot,70,70-flex all-mountain boot with custom-fit foam liner and GripWalk sole. Lightweight carbon cuff. Designed for advanced skiers seeking float in deep snow.
Alpine Lite Boot 120,Ridgeline,Equipment,Boots,Alpine,Intermediate,Unisex,562.04,Boot,120,Alpine boot built for spring slush. 120 flex index with thermo-moldable liner. Lightweight carbon cuff. alpine ISO compatible.
All-Mountain Pro Boot 100,Ridgeline,Equipment,Boots,All-Mountain,Beginner,Unisex,528.02,Boot,100,Performance all-mountain boot rated at 100 flex. heat-moldable liner for effortless carving. alpine ISO sole. 3M Thinsulate insulation.
Park Lite Boot 110,Salomon,Equipment,Boots,Park,Beginner,Male,603.15,Boot,110,Park boot built for hard-pack ice. 110 flex index with custom-fit foam liner. Removable spoiler for flex adjustment. rubber touring compatible.
Park Sport Boot 70,Black Crows,Equipment,Boots,Park,Expert,Male,725.40,Boot,70,Performance park boot rated at 70 flex. cork-fit liner for confident grip. Vibram Megagrip sole. 3M Thinsulate insulation.
Park Tour Boot 70,Ridgeline,Equipment,Boots,Park,Expert,Female,455.27,Boot,70,70-flex park boot with cork-fit liner and rubber touring sole. Lightweight carbon cuff. Designed for expert skiers seeking edge-to-edge precision.
Alpine Tour Boot 70,Ridgeline,Equipment,Boots,Alpine,Beginner,Female,671.29,Boot,70,Performance alpine boot rated at 70 flex. custom-fit foam liner for responsive flex. rockered touring sole. Boa dial closure for quick entry.
Park Sport Boot 100,Ridgeline,Equipment,Boots,Park,Beginner,Female,474.82,Boot,100,Performance park boot rated at 100 flex. custom-fit foam liner for float in deep snow. Vibram Megagrip sole. Power strap for fore-aft control.
Touring Sport Boot 90,Volkl,Equipment,Boots,Touring,Beginner,Female,702.61,Boot,90,90-flex touring boot with pre-shaped comfort liner and rockered touring sole. Dual-density footbed. Designed for beginner skiers seeking stability at speed.
Touring Performance Boot 60,Ridgeline,Equipment,Boots,Touring,Advanced,Female,389.70,Boot,60,Touring boot built for variable conditions. 60 flex index with pre-shaped comfort liner. 3M Thinsulate insulation. GripWalk/MNC compatible.
Alpine Elite Boot 90,Black Crows,Equipment,Boots,Alpine,Beginner,Unisex,487.10,Boot,90,Alpine boot built for deep powder days. 90 flex index with Intuition Pro liner. Lightweight carbon cuff. Vibram Megagrip compatible.
Alpine Race Boot 60,Black Crows,Equipment,Boots,Alpine,Intermediate,Male,635.98,Boot,60,Performance alpine boot rated at 60 flex. thermo-moldable liner for confident grip. GripWalk/MNC sole. 3M Thinsulate insulation.
All-Mountain Elite Boot 120,Ridgeline,Equipment,Boots,All-Mountain,Beginner,Female,354.44,Boot,120,Performance all-mountain boot rated at 120 flex. pre-shaped comfort liner for stability at speed. GripWalk/MNC sole. Narrow race last for precision.
Alpine Performance Boot 100,Ortovox,Equipment,Boots,Alpine,Beginner,Male,771.66,Boot,100,Performance alpine boot rated at 100 flex. Intuition Pro liner for playful turn initiation. rubber touring sole. Lightweight carbon cuff.
Freeride Tour Boot 90,Salomon,Equipment,Boots,Freeride,Intermediate,Female,549.13,Boot,90,Performance freeride boot rated at 90 flex. heat-moldable liner for effortless carving. alpine ISO sole. Boa dial closure for quick entry.
Touring Response Boot 120,Ortovox,Equipment,Boots,Touring,Expert,Unisex,653.75,Boot,120,120-flex touring boot with Intuition Pro liner and GripWalk sole. 3M Thinsulate insulation. Designed for expert skiers seeking stability at speed.
All-Mountain Lite Boot 110,Volkl,Equipment,Boots,All-Mountain,Expert,Unisex,343.06,Boot,110,110-flex all-mountain boot with custom-fit foam liner and alpine ISO sole. Removable spoiler for flex adjustment. Designed for expert skiers seeking effortless carving.
Touring Lite Boot 110,Ridgeline,Equipment,Boots,Touring,Advanced,Male,688.56,Boot,110,Performance touring boot rated at 110 flex. pre-shaped comfort liner for float in deep snow. GripWalk/MNC sole. Walk mode with 60-degree ROM.
Freeride Performance Boot 80,Salomon,Equipment,Boots,Freeride,Intermediate,Male,426.98,Boot,80,Performance freeride boot rated at 80 flex. pre-shaped comfort liner for edge-to-edge precision. Vibram Megagrip sole. Walk mode with 60-degree ROM.
All-Mountain Tour Boot 110,Salomon,Equipment,Boots,All-Mountain,Expert,Unisex,731.12,Boot,110,All-Mountain boot built for spring slush. 110 flex index with custom-fit foam liner. Walk mode with 60-degree ROM. alpine ISO compatible.
Touring Elite Boot 70,Ridgeline,Equipment,Boots,Touring,Beginner,Female,454.20,Boot,70,Touring boot built for off-piste powder. 70 flex index with heat-moldable liner. Lightweight carbon cuff. GripWalk compatible.
Alpine Comfort Boot 60,Volkl,Equipment,Boots,Alpine,Expert,Female,523.87,Boot,60,Performance alpine boot rated at 60 flex. Intuition Pro liner for edge-to-edge precision. rockered touring sole. Power strap for fore-aft control.
Touring Elite Boot 80,Ridgeline,Equipment,Boots,Touring,Beginner,Unisex,318.57,Boot,80,Performance touring boot rated at 80 flex. thermo-moldable liner for edge-to-edge precision. rockered touring sole. Dual-density footbed.
Park Tour Boot 60,Ortovox,Equipment,Boots,Park,Expert,Female,693.61,Boot,60,Performance park boot rated at 60 flex. heat-moldable liner for effortless carving. rubber touring sole. Walk mode with 60-degree ROM.
All-Mountain Performance Boot 70,Salomon,Equipment,Boots,All-Mountain,Intermediate,Female,590.37,Boot,70,Performance all-mountain boot rated at 70 flex. Intuition Pro liner for edge-to-edge precision. rubber touring sole. 3M Thinsulate insulation.
Touring Response Boot 70,Black Crows,Equipment,Boots,Touring,Intermediate,Unisex,622.01,Boot,70,70-flex touring boot with pre-shaped comfort liner and rubber touring sole. Boa dial closure for quick entry. Designed for intermediate skiers seeking responsive flex.
Touring Performance Boot 90,Ortovox,Equipment,Boots,Touring,Expert,Male,798.99,Boot,90,Touring boot built for deep powder days. 90 flex index with heat-moldable liner. Walk mode with 60-degree ROM. rubber touring compatible.
Park Performance Boot 80,Ridgeline,Equipment,Boots,Park,Intermediate,Male,714.67,Boot,80,Park boot built for deep powder days. 80 flex index with cork-fit liner. Boa dial closure for quick entry. alpine ISO compatible.
Park Comfort Boot 130,Salomon,Equipment,Boots,Park,Advanced,Unisex,416.00,Boot,130,Performance park boot rated at 130 flex. Intuition Pro liner for responsive flex. alpine ISO sole. Wide last for comfort.
Park Performance Boot 90,Salomon,Equipment,Boots,Park,Expert,Male,699.63,Boot,90,90-flex park boot with Intuition Pro liner and GripWalk sole. Power strap for fore-aft control. Designed for expert skiers seeking responsive flex.
All-Mountain Race Boot 70,Salomon,Equipment,Boots,All-Mountain,Beginner,Female,680.56,Boot,70,70-flex all-mountain boot with thermo-moldable liner and rockered touring sole. Micro-adjustable buckles. Designed for beginner skiers seeking effortless carving.
Touring Tour Boot 60,Volkl,Equipment,Boots,Touring,Beginner,Female,497.23,Boot,60,60-flex touring boot with custom-fit foam liner and alpine ISO sole. Walk mode with 60-degree ROM. Designed for beginner skiers seeking responsive flex.
Alpine Elite Boot 80,Ridgeline,Equipment,Boots,Alpine,Advanced,Male,318.15,Boot,80,80-flex alpine boot with cork-fit liner and Vibram Megagrip sole. Power strap for fore-aft control. Designed for advanced skiers seeking confident grip.
Freeride Race Boot 120,Ridgeline,Equipment,Boots,Freeride,Intermediate,Unisex,354.59,Boot,120,Performance freeride boot rated at 120 flex. custom-fit foam liner for stability at speed. rubber touring sole. Walk mode with 60-degree ROM.
All-Mountain Elite Boot 70,Black Crows,Equipment,Boots,All-Mountain,Expert,Male,717.34,Boot,70,Performance all-mountain boot rated at 70 flex. pre-shaped comfort liner for float in deep snow. rockered touring sole. Boa dial closure for quick entry.
All-Mountain Lite Boot 120,Ridgeline,Equipment,Boots,All-Mountain,Advanced,Male,392.66,Boot,120,Performance all-mountain boot rated at 120 flex. pre-shaped comfort liner for stability at speed. rubber touring sole. Walk mode with 60-degree ROM.
Park Lite Boot 60,Ridgeline,Equipment,Boots,Park,Advanced,Female,477.55,Boot,60,60-flex park boot with Intuition Pro liner and Vibram Megagrip sole. Walk mode with 60-degree ROM. Designed for advanced skiers seeking responsive flex.
Touring Elite Boot 130,Ridgeline,Equipment,Boots,Touring,Intermediate,Unisex,789.41,Boot,130,130-flex touring boot with cork-fit liner and Vibram Megagrip sole. Micro-adjustable buckles. Designed for intermediate skiers seeking playful turn initiation.
Alpine Sport Boot 110,Ridgeline,Equipment,Boots,Alpine,Intermediate,Male,765.69,Boot,110,Alpine boot built for groomed runs. 110 flex index with thermo-moldable liner. Power strap for fore-aft control. rockered touring compatible.
Touring Tour Boot 110,Ridgeline,Equipment,Boots,Touring,Beginner,Unisex,435.61,Boot,110,110-flex touring boot with thermo-moldable liner and alpine ISO sole. Power strap for fore-aft control. Designed for beginner skiers seeking effortless carving.
Park Response Boot 100,Ridgeline,Equipment,Boots,Park,Advanced,Unisex,699.57,Boot,100,Performance park boot rated at 100 flex. heat-moldable liner for edge-to-edge precision. alpine ISO sole. Removable spoiler for flex adjustment.
Alpine Response Boot 100,Ridgeline,Equipment,Boots,Alpine,Advanced,Unisex,452.25,Boot,100,100-flex alpine boot with custom-fit foam liner and GripWalk/MNC sole. Power strap for fore-aft control. Designed for advanced skiers seeking responsive flex.
Touring Response Boot 60,Salomon,Equipment,Boots,Touring,Expert,Female,336.52,Boot,60,Touring boot built for variable conditions. 60 flex index with Intuition Pro liner. Micro-adjustable buckles. rockered touring compatible.
Park Tour Boot 70,Salomon,Equipment,Boots,Park,Beginner,Male,417.00,Boot,70,Park boot built for variable conditions. 70 flex index with Intuition Pro liner. Removable spoiler for flex adjustment. alpine ISO compatible.
