date,category,campaign_name,impressions,clicks
2025-05-15,Fitness Wear,Beat the Heat,26340,801
2025-06-01,UltraRunner Shoes,Summer Blitz,23890,718
2025-06-01,HydraBottle 2L,Summer Blitz,19340,601
2025-06-01,PowerYoga Mat,Summer Blitz,20450,661
2025-06-01,Cyclone Helmet,Summer Blitz,15230,424
2025-06-01,Fitness Wear,Summer Blitz,27890,849
2025-06-15,UltraRunner Shoes,Summer Blitz,24560,742
2025-06-15,HydraBottle 2L,Summer Blitz,20120,628
2025-06-15,PowerYoga Mat,Summer Blitz,21230,687
2025-06-15,Cyclone Helmet,Summer Blitz,16780,468
2025-06-15,Fitness Wear,Summer Blitz,28450,871
2025-07-01,UltraRunner Shoes,Summer Blitz,25340,765
2025-07-01,HydraBottle 2L,Summer Blitz,21560,672
2025-07-01,PowerYoga Mat,Summer Blitz,19870,641
2025-07-01,Cyclone Helmet,Summer Blitz,17340,483
2025-07-01,Fitness Wear,Summer Blitz,29120,889
2025-07-15,UltraRunner Shoes,Back to Basics,24890,748
2025-07-15,HydraBottle 2L,Back to Basics,22340,697
2025-07-15,PowerYoga Mat,Back to Basics,18560,598
2025-07-15,Cyclone Helmet,Back to Basics,16120,449
2025-07-15,Fitness Wear,Back to Basics,28670,874
2025-08-01,UltraRunner Shoes,Back to Basics,22670,681
2025-08-01,HydraBottle 2L,Back to Basics,20890,651
2025-08-01,PowerYoga Mat,Back to Basics,17230,556
2025-08-01,Cyclone Helmet,Back to Basics,15670,437
2025-08-01,Fitness Wear,Back to Basics,26780,816
2025-08-15,UltraRunner Shoes,Back to Basics,21340,642
2025-08-15,HydraBottle 2L,Back to Basics,19560,609
2025-08-15,PowerYoga Mat,Back to Basics,16450,531
2025-08-15,Cyclone Helmet,Back to Basics,14890,415
2025-08-15,Fitness Wear,Back to Basics,25340,772
2025-09-01,UltraRunner Shoes,Fall Hustle Series,23450,705
2025-09-01,HydraBottle 2L,Fall Hustle Series,17890,557
2025-09-01,PowerYoga Mat,Fall Hustle Series,18670,603
2025-09-01,Cyclone Helmet,Fall Hustle Series,13560,378
2025-09-01,Fitness Wear,Fall Hustle Series,24560,748
2025-09-15,UltraRunner Shoes,Fall Hustle Series,24120,726
2025-09-15,HydraBottle 2L,Fall Hustle Series,16340,509
2025-09-15,PowerYoga Mat,Fall Hustle Series,19340,625
2025-09-15,Cyclone Helmet,Fall Hustle Series,12890,359
2025-09-15,Fitness Wear,Fall Hustle Series,23120,704
2025-10-01,UltraRunner Shoes,Fall Hustle Series,20560,617
2025-10-01,HydraBottle 2L,Fall Hustle Series,14230,443
2025-10-01,PowerYoga Mat,Fall Hustle Series,16890,545
2025-10-01,Cyclone Helmet,Fall Hustle Series,11670,325
2025-10-01,Fitness Wear,Fall Hustle Series,21890,667
2025-10-15,UltraRunner Shoes,Fall Hustle Series,19870,597
2025-10-15,HydraBottle 2L,Fall Hustle Series,13560,422
2025-10-15,PowerYoga Mat,Fall Hustle Series,15780,509
2025-10-15,Cyclone Helmet,Fall Hustle Series,10890,304
2025-10-15,Fitness Wear,Fall Hustle Series,20450,623
